mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
3.3008e+06,0.97285,0.45031,172.6,1,1000,1.3863,28348,4685.7,9.8269e+08,95.035,6.7127e+06,2.0467,4.3545,2.4811,1.3627e+07,52,1.3627e+07
4.797e+06,0.54639,0.45031,406.26,1,1000,1.3863,93027,2898.4,5.8245e+07,79.3,4.6843e+06,0.1322,1.3978,0.85235,1.0141e+10,53,1.0141e+10
3.9849e+06,0.98485,0.98585,101.2,1,1000,1.3863,3.4367e+05,6920.1,4.2146e+08,99.871,6.8647e+06,2.995,4.8225,2.9988,4.4035e+06,54,4.4035e+06
3.6804e+06,0.59502,0.45031,339.15,1,1000,1.3863,4.7786e+05,3079.1,3.4233e+08,31.444,2.2566e+06,1.1611,0.13088,2.01,1.3621e+11,55,1.3621e+11
4.2006e+06,0.5964,0.18935,14.838,1,1000,1.3863,57941,10.042,9.4653e+08,0.0021195,1.0135e+06,1.1852,4.9859,0.95204,39036,56,39036
4.2231e+06,0.32109,0.45031,335.64,1,1000,1.3863,2.9415e+05,5823.8,5.2182e+08,83.816,3.9514e+06,1.3638,4.8335,0.91153,5.9419e+08,57,5.9419e+08
4.3092e+06,0.81269,0.45031,112.77,1,1000,1.3863,2.1867e+05,848.83,5.8139e+08,46.821,3.1436e+06,2.615,1.0345,0.47305,3.7461e+08,58,3.7461e+08
4.644e+06,0.42467,0.45031,558.07,1,1000,1.3863,3.2073e+05,5620.3,6.6374e+08,19.962,2.1768e+06,0.37463,3.3701,2.01,1.1443e+10,59,1.1443e+10
3.2417e+06,0.70947,0.99415,0.11008,1,1000,1.3863,2412.3,15.538,2.745e+08,90.254,7.5009e+06,0.25851,3.9708,1.4229,1.6912e+05,60,1.6912e+05
4.5903e+06,0.55091,0.45031,273.62,1,1000,1.3863,7445,1422.5,3.0694e+07,21.859,7.1091e+06,2.4261,0.23573,2.01,4.2139e+08,61,4.2139e+08
4.3326e+06,0.63985,0.45031,8.3145,1,1000,1.3863,2.7446e+05,8696.9,7.3885e+08,11.444,7.6625e+05,0.30969,4.8572,2.01,5.2998e+07,62,5.2998e+07
3.4077e+06,0.50574,0.99985,401.55,1,1000,1.3863,3.0391e+05,2345.2,1.4205e+08,67.475,5.0725e+06,2.3647,4.6381,2.9951,4.871e+06,63,4.8711e+06
4.1393e+06,0.87571,0.45031,455.58,1,1000,1.3863,2.429e+05,8617,9.6552e+08,63.757,1.8938e+05,2.2791,1.2334,2.01,2.3808e+12,64,2.3808e+12
3.8056e+06,0.30011,0.0005874,0.32278,1,1000,1.3863,92696,5.4153,9.35e+08,52.533,2.9228e+06,3,4.7499,1.4571,4512.2,65,4512.2
4.5851e+06,0.9987,0.67714,152.31,1,1000,1.3863,1.4584e+05,2455,7.0436e+08,38.093,4.532e+06,2.6565,4.772,2.536,7.0435e+06,66,7.0436e+06
4.1537e+06,0.66482,0.99999,1.1436,1,1000,1.3863,2.5088e+05,10.396,3.4517e+08,94.415,5.0938e+06,1.5415,3.7724,2.1339,69587,67,69587
4.3168e+06,0.49125,0.66396,481.32,1,1000,1.3863,4.6436e+05,4507.9,6.3745e+08,76.344,5.6751e+06,2.9919,3.4392,0.24331,5.4355e+09,68,5.4355e+09
3.8503e+06,0.74869,0.45031,428.24,1,1000,1.3863,3.2711e+05,6347.4,7.3434e+08,67.838,5.8828e+05,2.662,3.3295,0.60337,1.848e+11,69,1.8481e+11
3.3883e+06,0.30096,0.48911,31.249,1,1000,1.3863,1.1198e+05,1679.1,9.2853e+08,99.843,2.4862e+06,2.0095,4.0657,1.3012,4.917e+05,70,4.9171e+05
4.8354e+06,0.36417,0.45031,350.25,1,1000,1.3863,3.3815e+05,6484.9,7.0369e+08,93.08,1.9945e+06,2.5113,3.6365,0.097172,1.5291e+11,71,1.5291e+11
4.6374e+06,0.87464,0.16945,534.28,1,1000,1.3863,2.6264e+05,6.1087,7.4874e+08,32.455,1.8885e+06,2.9973,4.4101,2.5233,19397,72,19397
4.0432e+06,0.93164,0.60658,252.81,1,1000,1.3863,770.57,27.586,8.2829e+08,59.25,1588.1,1.7332,4.6212,2.6813,1.6978e+10,73,1.6978e+10
3.6973e+06,0.39358,0.12752,2.9549e-07,1,1000,1.3863,2.5659e+05,5561.3,7.0757e+06,19.043,9.3194e+06,1.0769,4.9942,1.9893,14557,74,14557
3.2627e+06,0.38055,0.45031,505.22,1,1000,1.3863,46661,7387.8,5.5304e+07,31.439,6.0609e+06,2.2715,2.3174,0.22502,6.714e+09,75,6.714e+09
3.3707e+06,0.81324,0.82731,246.65,1,1000,1.3863,3.3873e+05,9876.4,9.9326e+08,3.5701,1.8026e+06,2.5125,1.6154,2.995,3.8691e+09,76,3.8692e+09
