mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
2.9202e+06,0.0014984,0.00056013,1418.9,1,1000,1.3863,4.8244e+05,1576.1,9.7059e+08,4.2176e+06,9.1574e+06,4.7858e+05,2.4269e+05,4.0014e+05,4003.8,1,4003.8
2.9202e+06,0.0014984,0.00056013,6787.4,1,1000,1.3863,3.961e+05,9594.9,6.5575e+08,3.9223e+06,6.5548e+06,17856,4.2456e+05,4.67e+05,4003.8,2,4003.8
2.9202e+06,0.0014984,0.00056013,2760.3,1,1000,1.3863,93436,4897.6,4.4561e+08,4.9836e+06,9.5974e+06,3.2316e+05,3.5468e+05,3.7734e+05,4003.8,3,4003.8
2.9202e+06,0.0014984,0.00056013,6990.8,1,1000,1.3863,1.7019e+05,5852.7,2.2384e+08,8.909e+06,9.5929e+06,3.7563e+05,1.2755e+05,2.5298e+05,4003.8,4,4003.8
2.9202e+06,0.0014984,0.00056013,8142.8,1,1000,1.3863,2.7361e+05,1386.2,1.4933e+08,2.4352e+06,9.2926e+06,1.2875e+05,4.2036e+05,1.2714e+05,4003.8,5,4003.8
2.9202e+06,0.0014984,0.00056013,8308.3,1,1000,1.3863,1.7499e+05,1966,2.5111e+08,3.8045e+06,5.6782e+06,3.0802e+05,2.3664e+05,1.7583e+05,4003.8,6,4003.8
2.9202e+06,0.0014984,0.00056013,5688.2,1,1000,1.3863,37927,539.5,5.3082e+08,6.5408e+06,6.8921e+06,3.8958e+05,4.6701e+05,64953,4003.8,7,4003.8
2.9202e+06,0.0014984,0.00056013,8258.2,1,1000,1.3863,3.7408e+05,4505.4,8.3857e+07,5.3834e+06,9.9613e+06,1.1449e+05,4.5667e+05,76189,4003.8,8,4003.8
2.9202e+06,0.0014984,0.00056013,8173,1,1000,1.3863,39088,4426.8,1.0669e+08,1.3607e+06,8.6929e+06,4.8095e+05,2317.1,3.8746e+05,4003.8,9,4003.8
2.9202e+06,0.0014984,0.00056013,5132.5,1,1000,1.3863,2.8985e+05,5498.6,1.4499e+08,1.8391e+06,2.3995e+06,4.2652e+05,3.1103e+05,1.7548e+05,4003.8,10,4003.8
2.9202e+06,0.0014984,0.00056013,3377.2,1,1000,1.3863,2.0863e+05,496.54,9.0272e+08,1.112e+06,7.8025e+06,4.7239e+05,2.4543e+05,2.4463e+05,4003.8,11,4003.8
2.9202e+06,0.0014984,0.00056013,9561.3,1,1000,1.3863,1.9487e+05,2416.9,4.0394e+08,2.3478e+06,3.5316e+06,48227,65987,4.7103e+05,4003.8,12,4003.8
2.9202e+06,0.0014984,0.00056013,6477.5,1,1000,1.3863,4.106e+05,154.03,4.3061e+07,4.5092e+06,5.4701e+06,84495,3.2456e+05,3.6586e+05,4003.8,13,4003.8
2.9202e+06,0.0014984,0.00056013,6256.2,1,1000,1.3863,1.4816e+05,7446.9,1.8899e+08,5.0851e+06,5.1077e+06,3.4339e+05,91756,1.8424e+05,4003.8,14,4003.8
2.9202e+06,0.0014984,0.00056013,3507.3,1,1000,1.3863,4.0881e+05,7948.3,6.4433e+08,5.5016e+06,6.2248e+06,1.893e+05,4.0579e+05,2.6641e+05,4003.8,15,4003.8
2.9202e+06,0.0014984,0.00056013,1947.6,1,1000,1.3863,2.9352e+05,2077.4,3.0127e+08,2.2766e+06,4.357e+06,2.3546e+05,1.1524e+05,4.2215e+05,4003.8,16,4003.8
2.9202e+06,0.0014984,0.00056013,4388.7,1,1000,1.3863,1.5555e+05,9233.8,4.3023e+08,1.1112e+06,2.5806e+06,92408,4.5244e+05,4.8987e+05,4003.8,17,4003.8
2.9202e+06,0.0014984,0.00056013,1174.2,1,1000,1.3863,2.0436e+05,5949,2.6224e+08,2.9668e+06,3.1878e+06,3.0142e+05,3.5561e+05,1.1087e+05,4003.8,18,4003.8
2.9202e+06,0.0014984,0.00056013,9288.5,1,1000,1.3863,2.1208e+05,5078.6,8.5552e+07,4.5885e+06,9.6309e+06,1.3124e+05,4.0051e+05,14610,4003.8,19,4003.8
2.9202e+06,0.0014984,0.00056013,3955.2,1,1000,1.3863,2.734e+05,5211.4,2.3162e+08,3.6744e+06,9.8798e+06,2.4445e+05,3.1203e+05,3.3957e+05,4003.8,20,4003.8
2.9202e+06,0.0014984,0.00056013,3353.6,1,1000,1.3863,18869,8851.7,9.1329e+08,3.3416e+06,6.9875e+06,3.9809e+05,49356,1.3094e+05,4003.8,21,4003.8
2.9202e+06,0.0014984,0.00056013,6098.7,1,1000,1.3863,98905,305.41,7.4408e+08,6.1767e+06,8.5944e+06,2.5001e+05,2.3996e+05,4.5236e+05,4003.8,22,4003.8
2.9202e+06,0.0014984,0.00056013,4894.2,1,1000,1.3863,4.0274e+05,5762.6,1.8295e+08,1.6793e+06,9.7868e+06,1.1997e+05,4.4326e+05,14336,4003.8,23,4003.8
2.9202e+06,0.0014984,0.00056013,9826.9,1,1000,1.3863,3.5872e+05,8391.4,4.7111e+08,4.3239e+06,8.2532e+06,28166,3.4095e+05,38.157,3992.7,24,3992.7
2.9202e+06,0.0014984,0.00056013,604.71,1,1000,1.3863,41735,1331.7,1.7342e+08,3.9926e+06,5.2688e+06,1.9547e+05,4.1569e+05,4.0168e+05,4003.8,25,4003.8
2.9202e+06,0.0014984,0.00056013,4005,1,1000,1.3863,2.0869e+05,6400.9,6.2799e+08,5.2677e+05,7.3786e+06,1.4598e+05,2.1583e+05,22.196,3992.7,26,3992.7
2.9202e+06,0.0014984,0.00056013,3014.5,1,1000,1.3863,1.3456e+05,4228.4,5.4789e+08,5.3913e+06,6.9811e+06,4.7137e+05,2.0887e+05,4.9153e+05,4003.8,27,4003.8
2.9202e+06,0.0014984,0.00056013,5222.5,1,1000,1.3863,3.3406e+05,5947.2,1.2805e+08,1.9043e+06,3.6892e+06,4.8778e+05,85640,35.013,3992.7,28,3992.7
2.9202e+06,0.0014984,0.00056013,1909.2,1,1000,1.3863,2.3036e+05,9816.4,1.5644e+08,4.2825e+06,4.8202e+06,4.2776e+05,3.2238e+05,1.8814e+05,4003.8,29,4003.8
2.9202e+06,0.0014984,0.00056013,2904.4,1,1000,1.3863,60306,5895.1,2.2622e+08,8.2438e+06,9.8266e+06,1.9231e+05,2.9149e+05,1.259e+05,4003.8,30,4003.8
2.9202e+06,0.0014984,0.00056013,8177.6,1,1000,1.3863,3.6512e+05,3438.8,5.8409e+08,2.6073e+06,5.9436e+06,53885,4.5315e+05,4.3983e+05,4003.8,31,4003.8
2.9202e+06,0.0014984,0.00056013,942.29,1,1000,1.3863,11256,4252.6,3.1275e+08,6.9595e+06,6.9989e+06,80742,89383,2.1144e+05,4003.8,32,4003.8
2.9202e+06,0.0014984,0.00056013,4076.2,1,1000,1.3863,3.1927e+05,336.04,6.8843e+07,6.1096e+06,7.788e+06,1.598e+05,2.6543e+05,3.2722e+05,4003.8,33,4003.8
2.9202e+06,0.0014984,0.00056013,5271.4,1,1000,1.3863,2.1173e+05,908.23,2.665e+08,4.5742e+06,8.7537e+06,76828,1.405e+05,2.2004e+05,4003.8,34,4003.8
2.9202e+06,0.0014984,0.00056013,2890.6,1,1000,1.3863,2.5903e+05,9436.2,6.3772e+08,6.7181e+06,6.9514e+06,4.7885e+05,1.2035e+05,3.3806e+05,4003.8,35,4003.8
2.9202e+06,0.0014984,0.00056013,7805.2,1,1000,1.3863,33996,2547.9,2.2407e+08,4.6092e+06,7.7016e+06,3.3392e+05,4.222e+05,1.7223e+05,4003.8,36,4003.8
2.9202e+06,0.0014984,0.00056013,4734.9,1,1000,1.3863,1.6124e+05,7847.4,4.7138e+08,1.5272e+06,3.4112e+06,17881,87937,3.6088e+05,4003.8,37,4003.8
2.9202e+06,0.0014984,0.00056013,7655,1,1000,1.3863,3.0369e+05,1917.5,7.3844e+08,1.8866e+06,2.875e+06,1.2142e+05,4.5871e+05,1.3453e+05,4003.8,38,4003.8
2.9202e+06,0.0014984,0.00056013,6476.2,1,1000,1.3863,45557,5762.1,6.8338e+08,1.194e+06,6.073e+06,2.733e+05,2.1286e+05,3.2222e+05,4003.8,39,4003.8
2.9202e+06,0.0014984,0.00056013,4161.6,1,1000,1.3863,2.2507e+05,4587.3,6.6196e+08,2.5644e+06,6.1346e+06,3.8514e+05,1.7511e+05,3.31e+05,4003.8,40,4003.8
2.9202e+06,0.0014984,0.00056013,9398.3,1,1000,1.3863,2.9112e+05,5407.4,8.6995e+08,1.058e+06,1.097e+06,1.3239e+05,1.5904e+05,59607,4003.8,41,4003.8
2.9202e+06,0.0014984,0.00056013,7719.8,1,1000,1.3863,31796,4045.8,4.4839e+08,9.3285e+06,9.7274e+06,1.8291e+05,3.8175e+05,3.1395e+05,4003.8,42,4003.8
2.9202e+06,0.0014984,0.00056013,8611.4,1,1000,1.3863,96014,1388.7,6.9628e+08,6.7143e+06,7.4126e+06,46910,2.627e+05,2.6517e+05,4003.8,43,4003.8
2.9202e+06,0.0014984,0.00056013,7549.3,1,1000,1.3863,2.6003e+05,3477.1,1.5003e+08,2.4279e+06,4.424e+06,2.9305e+05,1.3107e+05,22227,4003.8,44,4003.8
