mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
2.5e+05,0.3,0.1,2.2571e-08,1,1000,1.3863,1.5706e+05,5.5366e-08,3.9889e+05,22.29,1381,0,0.43615,1,12480,1,12480
2.5e+05,0.3,0.1,0.21438,1,1000,1.3863,1.9251e+05,0.022184,6.3879e+05,98.636,1999.4,0,0.29282,1,28729,2,28730
2.5e+05,0.3,0.1,5.6409e-05,1,1000,1.3863,1.6346e+05,9.5321e-05,63198,34.355,1892,0,0.5,0.72557,19453,3,19453
2.5e+05,0.3,0.1,0.0081853,1,1000,1.3863,1.7514e+05,0.0009716,7.4465e+05,2.6276,187.92,0,0.49995,0.8805,15258,4,15258
2.5e+05,0.3,0.1,0.5077,1,1000,1.3863,1.7721e+05,0.18459,3.3157e+05,0.44167,1248.9,0,0.45154,0.99919,40455,5,40455
2.5e+05,0.3,0.1,0.52368,1,1000,1.3863,1.9426e+05,0.12831,8.2906e+05,95.913,311.99,0,0.25052,0.82204,1.5688e+06,6,1.5688e+06
2.5e+05,0.3,0.1,6.106e-05,1,1000,1.3863,1.9292e+05,0.0001585,2.2309e+05,95.004,1563.8,0,0.39355,0.99993,15493,7,15493
2.5e+05,0.3,0.1,0.00091549,1,1000,1.3863,1.3031e+05,0.036932,6.6103e+05,98.075,875.55,0,0.24457,0.62973,84752,8,84752
2.5e+05,0.3,0.1,1.231e-08,1,1000,1.3863,1.8352e+05,0.0015561,25107,100,530.51,0,0.4749,0.90848,16609,9,16609
2.5e+05,0.3,0.1,0.004096,1,1000,1.3863,1.1748e+05,0.090984,5.3754e+05,53.028,1896.7,0,0.5,1,12379,10,12379
2.5e+05,0.3,0.1,0.49823,1,1000,1.3863,1.1194e+05,0.00049242,3.6131e+05,90.603,737,0,0.21985,0.67707,1.1258e+05,11,1.1258e+05
2.5e+05,0.3,0.1,0.29665,1,1000,1.3863,1.6625e+05,0.00095362,94127,28.818,1427.1,0,0.32364,0.63434,41749,12,41749
2.5e+05,0.3,0.1,0.55386,1,1000,1.3863,1.6454e+05,0.17944,8.8234e+05,92.476,332.23,0,0.3281,0.84113,1.2148e+06,13,1.2148e+06
2.5e+05,0.3,0.1,0.097632,1,1000,1.3863,1.3631e+05,3.0888e-05,8.3025e+05,6.6027e-06,749.53,0,0.2463,0.71004,40391,14,40391
2.5e+05,0.3,0.1,0.054215,1,1000,1.3863,1.1313e+05,0.00030005,6.5619e+05,57.173,1139.3,0,0.49924,0.94445,10195,15,10195
2.5e+05,0.3,0.1,0.59786,1,1000,1.3863,1.7788e+05,0.083431,1.1066e+05,24.048,461.82,0,0.21778,0.68156,2.9078e+05,16,2.9078e+05
2.5e+05,0.3,0.1,0.19991,1,1000,1.3863,1.012e+05,0.047713,2.0939e+05,33.897,1381,0,0.49994,0.95158,12040,17,12040
2.5e+05,0.3,0.1,0.0060113,1,1000,1.3863,1.2336e+05,0.059344,3.573e+05,76.115,758.77,0,0.40558,0.71095,25735,18,25735
2.5e+05,0.3,0.1,0.00047929,1,1000,1.3863,1.686e+05,0.030761,5.904e+05,99.643,1514.3,0,0.35503,0.98627,19527,19,19527
2.5e+05,0.3,0.1,0.59816,1,1000,1.3863,1.8028e+05,0.13627,8.7664e+05,23.894,197.77,0,0.49993,0.99861,3.6358e+05,20,3.6359e+05
2.5e+05,0.3,0.1,0.20209,1,1000,1.3863,1.1626e+05,1.3389e-05,5.9427e+05,0.3268,347.45,0,0.49998,0.96531,23379,21,23379
2.5e+05,0.3,0.1,0.042517,1,1000,1.3863,1.6812e+05,0.028965,57828,39.351,1990.4,0,0.20443,0.65674,35873,22,35873
2.5e+05,0.3,0.1,0.00040231,1,1000,1.3863,1.4396e+05,0.00076462,7.7805e+05,4.8441e-06,448.02,0,0.48675,0.64094,18118,23,18118
2.5e+05,0.3,0.1,0.43298,1,1000,1.3863,1.5983e+05,0.18524,3.3441e+05,80.035,933.58,0,0.22974,0.81453,8.3362e+31,24,5.0322e+33
2.5e+05,0.3,0.1,0.00040217,1,1000,1.3863,1.2791e+05,0.017264,7.8755e+05,0.094852,585.81,0,0.4368,0.82656,15520,25,15520
2.5e+05,0.3,0.1,0.2853,1,1000,1.3863,1.2404e+05,0.034921,3.4822e+05,1.8782,1980.1,0,0.49831,0.99954,12439,26,12439
2.5e+05,0.3,0.1,0.025975,1,1000,1.3863,1.7652e+05,0.022983,7.1934e+05,1.7466,1803,0,0.48161,0.99937,13303,27,13303
2.5e+05,0.3,0.1,0.59957,1,1000,1.3863,1.59e+05,0.00078191,3.1942e+05,99.659,99.768,0,0.29711,0.80343,9.0494e+05,28,9.0495e+05
2.5e+05,0.3,0.1,0.0024692,1,1000,1.3863,1.585e+05,0.036515,4.0956e+05,1.9936,884.4,0,0.49898,0.97457,13101,29,13101
2.5e+05,0.3,0.1,0.13172,1,1000,1.3863,1.9892e+05,0.1086,5.6332e+05,81.493,699.2,0,0.26458,0.74531,5.9992e+19,30,5.9992e+19
2.5e+05,0.3,0.1,1.0034e-07,1,1000,1.3863,1.0021e+05,0.029494,3.975e+05,24.68,1182.6,0,0.49984,0.63362,13931,31,13931
2.5e+05,0.3,0.1,0.027826,1,1000,1.3863,1.9948e+05,0.087026,6.96e+05,21.93,1808,0,0.24576,0.86986,1.5515e+19,32,2.7724e+22
2.5e+05,0.3,0.1,0.55279,1,1000,1.3863,1.6831e+05,0.076355,4.0112e+05,99.601,223.98,0,0.27671,0.86592,5.2687e+05,33,5.2687e+05
2.5e+05,0.3,0.1,0.12621,1,1000,1.3863,1.6877e+05,0.17921,7.5094e+05,61.978,560.67,0,0.26866,0.69552,2.534e+19,34,2.5425e+19
2.5e+05,0.3,0.1,0.40219,1,1000,1.3863,1.1978e+05,0.081678,3.626e+05,49.593,539.44,0,0.46806,0.73214,58975,35,58975
2.5e+05,0.3,0.1,0.34874,1,1000,1.3863,1.6842e+05,0.1496,3.9164e+05,40.614,1315.9,0,0.41967,0.78349,39809,36,39810
2.5e+05,0.3,0.1,0.3057,1,1000,1.3863,1.5752e+05,0.00097596,4.4164e+05,83.197,1837.3,0,0.36994,0.74143,27771,37,27771
2.5e+05,0.3,0.1,6.3744e-08,1,1000,1.3863,1.8846e+05,0.04834,21639,2.3482,1738.4,0,0.23477,0.59479,44325,38,44325
2.5e+05,0.3,0.071802,0.014719,1,1000,1.3863,1.8365e+05,0.2,7.7554e+05,98.384,1339.5,0,0.48933,0.47403,42704,39,42705
2e+05,0.3,0.04555,0.038939,1,1000,1.3863,1.3389e+05,0.18454,8.384e+05,25.572,1705.7,0,0.45965,0.36489,34461,40,34462
2e+05,0.3,0.04555,0.40415,1,1000,1.3863,1.2852e+05,0.026541,132.54,96.402,696.53,0,0.35903,0.3,1.0669e+05,41,1.0669e+05
1.3046e+05,0.3,0.046085,0.33645,1,1000,1.3863,1.1758e+05,0.060428,58738,94.155,989.05,0,0.49854,0.3,57243,42,57243
1.4453e+05,0.3,0.099954,0.28323,1,1000,1.3863,1.6527e+05,0.00075113,68380,44.249,265.5,0,0.20304,0.3,2.7145e+05,43,2.7145e+05
1.0198e+05,0.3,0.0010178,0.32747,1,1000,1.3863,58294,0.13118,8.8932e+05,79.211,1999.8,0,0.49995,0.3,12442,44,12442
1.1692e+05,0.3,0.030259,0.0040023,1,1000,1.3863,1.9891e+05,0.026192,2.1981e+05,0.20898,437.22,0,0.5,0.3,62602,45,62602
1.334e+05,0.3,0.054111,0.10749,1,1000,1.3863,53981,0.19998,7.9591e+05,93.35,1929.3,0,0.5,0.3,12673,46,12673
1.522e+05,0.3,0.051255,0.47456,1,1000,1.3863,53981,0.074407,71286,99.846,505.83,0,0.25726,0.3,1.8706e+05,47,1.8706e+05
1e+05,0.3,0.042821,9.6586e-06,1,1000,1.3863,53981,0.077417,16382,61.529,369.55,0,0.49986,0.3,11936,48,11936
1e+05,0.3,0.029481,9.7242e-08,1,1000,1.3863,53981,0.00010023,6.6823e+05,100,774.93,0,0.33833,0.3,7687.4,49,7687.4
1e+05,0.3,0.043527,0.28058,1,1000,1.3863,53981,0.026808,2.9095e+05,4.5327,677.67,0,0.20023,0.3,75849,50,75849
1e+05,0.3,0.010064,0.05004,1,1000,1.3863,53981,0.0012677,4.2109e+05,80.09,243.42,0,0.49896,0.3,11162,51,11162
1e+05,0.3,0.020563,0.18945,1,1000,1.3863,53981,0.17426,7.1066e+05,0.25499,1990.9,0,0.48864,0.3,9953.1,52,9953.1
1e+05,0.3,0.047644,0.13055,1,1000,1.3863,53981,0.13237,5.162e+05,32.36,1974.8,0,0.35919,0.3,12269,53,12269
1e+05,0.3,0.049824,0.11308,1,1000,1.3863,53981,0.12794,6.0135e+05,0.679,1930.7,0,0.38991,0.3,11036,54,11036
1e+05,0.3,0.010005,0.38285,1,1000,1.3863,53981,0.19201,29507,100,1329.7,0,0.5,0.3,15997,55,15997
1e+05,0.3,0.047593,0.0040768,1,1000,1.3863,53981,0.081159,7.816e+05,0.06348,463.14,0,0.5,0.3,9443.1,56,9443.1
1e+05,0.3,0.0505,0.44494,1,1000,1.3863,53981,0.19706,4.8526e+05,7.8639,440.24,0,0.20337,0.3,8.4067e+05,57,8.4067e+05
1e+05,0.3,0.0505,0.20106,1,1000,1.3863,53981,0.10311,8.3901e+05,48.752,1011.4,0,0.32065,0.3,25326,58,25326
1e+05,0.3,0.01,7.2974e-05,1,1000,1.3863,53981,0.004799,7.794e+05,3.9316,1739.9,0,0.5,0.3,5537.5,59,5537.5
