mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.0859e+05,1.1049e-08,9.7261e+08,2.5679e+06,2.855e+06,0.92798,4.4921e+05,4.2535e+05,2.0871e+14,1,2.0871e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.6408e+05,1.9145e-08,4.9253e+08,6.5272e+06,7.9604e+06,0.59967,1.9881e+05,4.9886e+05,2.0853e+14,2,2.0853e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.9999e+05,1.2342e-10,9.0473e+08,1.8119e+06,4.3151e+06,7.3049e-08,2.488e+05,1.9086e+05,1.1118e+14,3,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.3773e+05,2.3179e-08,1.3069e+08,5.1568e+06,5.4258e+06,2.1196e-10,68150,3.473e+05,1.1118e+14,4,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.9037e+05,2.9254e-08,5.0189e+08,2.6362e+05,2.7534e+06,0.61963,0.060104,0.00017385,2.0802e+14,5,2.0802e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.9806e+05,2.9253e-08,1.4419e+08,3.0131e+06,3.1957e+06,2.6598e-11,2.1883e+05,4.7252e+05,1.1118e+14,6,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.0884e+05,2.1669e-08,7.5826e+08,13144,9.8127e+06,0.787,2.1128e+05,4.7186e+05,2.0865e+14,7,2.0865e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,13158,8.4933e-14,5.5752e+08,3.4565e+06,5.0543e+06,7.3853e-13,4.9999e+05,5e+05,1.1118e+14,8,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.8301e+05,2.4763e-08,9.0199e+08,6.6121e+06,7.8348e+06,0.21804,4.347e+05,2.0711e+05,2.0761e+14,9,2.0761e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,498.28,1.7561e-08,2.2962e+08,1.7135e+06,6.5822e+06,2.4605e-09,0.92775,880.49,1.1114e+14,10,1.1114e+14
