mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
2920200,0.0014984,0.00056013,0.6,1,1000,1000,0.16325,6.9118E-13,489660000,0.41271,10,4.0259E-07,5.1243E-11,0.035176,107390000000000,0,107390000000000
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.8761e+05,6.3527e-11,8.8408e+08,49892,99272,4.9856e-08,3.4255e+05,5e+05,1.1118e+14,1,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,55620,1.3535e-08,8.569e+08,10.542,61155,1.4523e-05,1.3984e+05,48077,1.1133e+14,2,1.1133e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.4417e+05,2.6617e-08,6.1087e+08,449.99,91721,0.75094,1.7567e+05,2.0819e+05,2.0863e+14,3,2.0863e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.2742e+05,2.5513e-08,6.2492e+08,99776,9610.6,5.4889e-11,4.9967e+05,3.0038e+05,1.1118e+14,4,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.7751e+05,2.1424e-08,8.3113e+08,15453,45679,3.612e-10,4.6616e+05,4.1755e+05,1.1118e+14,5,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.478e+05,2.4419e-08,5.8275e+08,85154,3503.5,1.7953e-14,2.0375e+05,17707,1.1118e+14,6,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.1936e+05,2.8989e-08,1.4391e+08,1189.5,247.37,1.8918e-08,2.975e+05,3.2124e+05,1.1118e+14,7,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.5345e+05,1.8105e-08,1.6689e+08,0.0097726,0.066587,1.968e-10,3.6022e+05,2.9613e+05,1.1118e+14,8,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,5e+05,1.3251e-12,8.2408e+08,99997,2774.1,7.9056e-17,2.8604e+05,12567,1.1118e+14,9,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.1664e+05,2.3714e-08,5.57e+08,149.27,340.28,0.23365,2.2653e+05,1.8518e+05,2.0771e+14,10,2.0771e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.693e+05,2.9023e-08,7.5522e+08,98045,23478,0.52856,25718,3.7844e+05,2.0846e+14,11,2.0846e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.266e+05,2.8279e-08,9.8828e+08,1e+05,99949,1.1166e-11,3.1795e+05,1.1069e+05,1.1118e+14,12,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.0961e+05,9.5536e-09,9.5949e+07,74716,74960,3.2616e-10,1.6905e+05,4.1618e+05,1.1118e+14,13,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.9502e+05,2.8024e-08,8.9283e+08,52805,1.8478,0.34656,3.3863e+05,3.6588e+05,2.0815e+14,14,2.0815e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.7294e+05,3.6739e-09,8.2239e+08,2515.1,41443,0.73141,3.9069e+05,1.8364e+05,2.0862e+14,15,2.0862e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.7243e+05,2.6113e-08,2.426e+08,12960,22507,0.35001,1.4354e+05,4.6374e+05,2.0816e+14,16,2.0816e+14
