mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
5.0924e+05,0.3,0.1,0.34275,1,1000,1.3863,1.925e+05,0.02201,2.5998e+05,100,2000,0.2,0.29776,0.77343,47697,1,47697
5.5759e+05,0.3,0.1,0.32968,1,1000,1.3863,1.9099e+05,8.3992e-08,5.2364e+05,91.613,924.33,0.2,0.5,1,32688,2,32688
5.7444e+05,0.3,0.1,0.10577,1,1000,1.3863,1.6316e+05,0.11375,2.7019e+05,3.7856,1951.6,0.2,0.49933,0.60609,38380,3,38379
5.3985e+05,0.3,0.1,0.47011,1,1000,1.3863,1.5223e+05,0.15334,3.8325e+05,89.262,428.34,0.2,0.31838,0.60136,4.8113e+05,4,4.8113e+05
5.8837e+05,0.3,0.1,0.49537,1,1000,1.3863,1.0039e+05,0.17612,2.3512e+05,80.132,314.23,0.2,0.39228,0.69136,4.2066e+05,5,4.2066e+05
5.8397e+05,0.3,0.1,0.14087,1,1000,1.3863,1.6252e+05,0.1398,85869,23.077,1315.9,0.2,0.46657,0.6791,34901,6,34901
5.6517e+05,0.3,0.1,0.0074405,1,1000,1.3863,1e+05,0.00025561,6.4864e+05,76.872,1559,0.2,0.49994,0.93111,16887,7,16887
5.515e+05,0.3,0.1,0.37163,1,1000,1.3863,1.7836e+05,0.090044,1.4981e+05,5.6279,1618.2,0.2,0.23024,0.60171,1.0438e+05,8,1.0438e+05
5.4505e+05,0.3,0.1,0.00044042,1,1000,1.3863,1.8271e+05,0.12824,1.9088e+05,42.605,1065.1,0.2,0.20796,0.81778,9.0646e+19,9,9.0642e+19
5.2287e+05,0.3,0.1,0.20973,1,1000,1.3863,1.9257e+05,0.18066,5.4483e+05,16.395,56.292,0.2,0.21598,0.78222,2.7959e+20,10,1.0382e+26
5.8856e+05,0.3,0.1,0.41879,1,1000,1.3863,1.9554e+05,0.17864,8.6056e+05,9.0455,1534.8,0.2,0.49952,0.86619,60526,11,60526
5.0141e+05,0.3,0.1,0.38028,1,1000,1.3863,1.085e+05,0.14575,4.4789e+05,11.403,885.08,0.2,0.25085,0.75943,8.6392e+23,12,8.6412e+23
5.5579e+05,0.3,0.1,0.52757,1,1000,1.3863,1.6595e+05,0.058955,9.5037e+05,84.184,261.71,0.2,0.26204,0.76643,8.9994e+05,13,8.9994e+05
5.7336e+05,0.3,0.1,0.58585,1,1000,1.3863,1.1892e+05,0.12587,28908,99.622,1498.5,0.2,0.47807,0.85709,21578,14,21578
