mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
287520,0.30014,0.0050749,2.1814E-06,1,1000,1.3863,390130,0.18757,636900,99.999,1053.8,0.99989,0.4732,0.99873,20542,52,20542
3525900,0.30257,0.0059587,0.055307,1,1000,1.3863,264220,0.093521,89752,0.057145,1661.7,0.95953,1,0.9959,21469,48,21469
525370,0.93663,0.37369,0.68948,1,1000,1.3863,208970,0.055549,140870,23.432,1188.2,0.99966,0.61446,0.99931,26891,134,26891
1303500,0.30045,0.00047954,0.99768,1,1000,1.3863,269040,0.10082,255260,39.906,2000,0.74857,0.93351,0.86273,31695,25,31695
1589500,0.30053,0.054038,0.00263,1,1000,1.3863,334360,0.0045922,828100,6.2084,819.63,0.74742,0.998,0.84693,36098,113,36098
523440,0.87982,0.49741,0.24371,1,1000,1.3863,387160,0.61612,466510,85.824,1423.5,0.99814,0.99754,0.99804,37720,95,37721
720610,0.32453,0.11243,1,1,1000,1.3863,358290,0.55035,402350,100,1995.6,0.48475,0.99926,1,41072,62,41072
2813200,0.30216,1.2923E-06,0.19165,1,1000,1.3863,299400,0.32619,543770,75.784,2000,0.94494,0.99712,0.83648,48000,109,48000
214840,0.36123,0.45,0.0013578,1,1000,1.3863,427070,0.88786,842950,2.2799,848.17,0.8988,0.939,0.685,61746,92,61746
912630,0.3608,0.53913,0.99174,1,1000,1.3863,400200,0.0013705,90166,44.197,1688,0.8682,0.96362,0.9987,71942,59,71942
4321100,0.31537,0.00019492,0.0011939,1,1000,1.3863,350990,1.0585E-05,241250,9.109,1998.4,0.76383,0.99997,0.55237,72695,168,72695
1982600,0.39874,0.0028971,0.99847,1,1000,1.3863,407970,0.026842,862190,7.3872,1476.5,0.99895,0.99961,0.97731,77298,136,77298
350520,0.5166,0.72517,0.43263,1,1000,1.3863,471250,2.4973E-05,743150,99.998,1998.2,0.41696,0.63315,0.81019,83495,173,83495
438340,0.94122,0.41154,0.31947,1,1000,1.3863,360720,0.051889,239920,48.224,946.07,0.37701,0.27309,1,85396,183,85397
522670,0.80534,0.44765,0.79485,1,1000,1.3863,338500,0.41261,155720,0.37757,1487.7,0.80734,0.62237,0.6816,90699,45,90699
229320,0.7112,0.99725,0.53093,1,1000,1.3863,360950,0.94797,700580,30.472,581.73,0.20883,0.96486,0.65754,91363,139,91363
351010,0.97565,0.59651,0.00042374,1,1000,1.3863,255910,0.99868,241780,6.6783,1289.3,0.59219,0.8987,0.43485,92560,99,92560
3783800,0.3009,0.06038,0.0013884,1,1000,1.3863,456930,0.00053053,837060,62.624,1200.5,0.97574,0.99942,0.81043,94347,24,94348
458960,0.6688,0.82295,0.061204,1,1000,1.3863,566880,0.28546,757200,93.427,256.59,0.74178,0.74724,0.90505,97206,178,97207
1014300,0.92076,3.3222E-09,0.00014335,1,1000,1.3863,421340,0.14913,242440,96.677,719.66,0.69592,0.82963,0.49388,98175,185,98176
1265000,0.81928,0.32533,0.93424,1,1000,1.3863,373540,0.80186,402680,1.3599,1852.6,1,0.9058,1,102730,88,102730
2084800,1,5.4169E-06,0.67238,1,1000,1.3863,477320,0.0010184,9712.4,94.658,1621.7,0.64365,0.36138,0.61895,119680,20,119680
1696800,0.38867,0.0017158,0.92805,1,1000,1.3863,501320,0.44762,109940,88.69,1999.7,0.99759,0.60868,0.65854,121780,27,121780
4396700,0.37882,9.5206E-08,0.98185,1,1000,1.3863,388170,6.3725E-06,694040,4.0351,2000,0.99998,0.97187,1,127000,115,127000
1568500,0.36749,0.63241,0.13135,1,1000,1.3863,302070,0.51184,838260,100,1563.5,0.54882,0.97734,0.99817,129480,28,129480
