mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
1.7193e+05,0.66599,0.45,1750.1,1,1000,1.3863,52960,6815.6,4.6328e+08,5.1656e+06,7.027e+06,42.433,19.704,164.71,3999.9,1,3999.9
1.2899e+05,0.4338,0.39559,7486.2,1,1000,1.3863,76795,9534.6,5.409e+08,2.5761e+06,7.5195e+06,134.99,2.6682,162.05,3992.4,2,3992.4
3.9685e+05,0.82515,0.51824,4190.5,1,1000,1.3863,1.1433e+05,641.86,7.6734e+08,6.3566e+06,9.5089e+06,134.28,143.02,128.41,4001.5,3,4001.5
6.5593e+05,0.60499,0.45,2241.7,1,1000,1.3863,2.2198e+05,600.19,8.6676e+08,4.5051e+05,7.2317e+06,126.24,71.015,199.4,4000.9,4,4000.9
7.4839e+05,0.81311,0.45,8005.6,1,1000,1.3863,1.7372e+05,6606.2,3.8389e+08,2.4863e+06,4.5164e+06,125.47,4.33,182.11,4482.2,5,4482.3
9.8925e+05,0.043305,3.8001e-06,8021.4,1,1000,1.3863,1.1386e+05,8039.2,9.861e+08,1.8178e+05,6.8384e+06,7.5215,67.658,28.463,4048.5,6,4048.5
1.9032e+05,0.04182,0.44999,2178,1,1000,1.3863,3.9187e+05,5341.4,8.8536e+08,6.1644e+06,9.3966e+06,179.8,125.19,27.574,3995.6,7,3995.6
3.4333e+05,0.66238,0.45,7668.3,1,1000,1.3863,1.7723e+05,4106.3,9.8435e+08,2.9551e+06,6.8018e+06,189.12,135.33,197.66,4001.3,8,4001.3
5.167e+05,0.99824,0.99967,5832.1,1,1000,1.3863,2.6392e+05,4111.2,6.0265e+08,1.2565e+06,3.0891e+06,153.3,115.31,102.38,3995.2,9,3995.2
52233,0.37819,0.45,7709.5,1,1000,1.3863,3.6305e+05,7828.7,6.938e+08,2.6905e+06,6.7303e+06,1.9605,168.64,184.47,3995.2,10,3995.2
1.1681e+05,0.95269,0.13611,9344.7,1,1000,1.3863,2.3875e+05,6237.3,2.3647e+08,4.4166e+05,5.573e+06,34.962,175.77,143.04,3997.7,11,3997.7
6.3263e+05,0.53063,0.62576,9063.6,1,1000,1.3863,3.8625e+05,3119.4,1.7901e+08,5.4617e+05,5.0128e+06,67.954,41.973,102.02,3992.1,12,3992.1
9.2808e+05,0.024825,0.44199,3900,1,1000,1.3863,2.1586e+05,9975.6,8.1161e+08,7.4982e+06,8.3522e+06,97.659,179.15,25.179,3992.2,13,3992.2
7.5894e+05,0.4139,0.45,3606.4,1,1000,1.3863,1.6123e+05,5522.6,9.7913e+08,6.9474e+06,9.7273e+06,109.86,66.085,123.89,3999.1,14,3999.1
2.8869e+05,0.1774,0.15499,6626.5,1,1000,1.3863,1.6388e+05,8378,7.3908e+08,3.4878e+06,4.5134e+06,190.83,6.2984,71.339,3992.6,15,3992.6
1.4722e+05,0.99805,0.99202,8367.5,1,1000,1.3863,1.2045e+05,7150.6,8.5619e+08,4.8959e+06,8.7705e+06,55.603,147.69,25.876,3992.5,16,3992.5
5.9058e+05,0.99141,0.22166,6671.5,1,1000,1.3863,1.7657e+05,4494.9,9.6353e+08,6.2028e+06,8.1115e+06,68.685,197.74,34.809,3992.2,17,3992.2
2.7575e+05,0.62707,0.55558,1220.2,1,1000,1.3863,9628.7,838.74,9.748e+08,1.5223e+06,3.4801e+06,130.28,46.312,80.729,4003.1,18,4003.1
7.3861e+05,0.019526,0.36599,3422.9,1,1000,1.3863,60829,8841.7,9.4314e+07,6.8622e+06,8.9363e+06,172.94,79.064,6.6444,3992.5,19,3992.5
5.8661e+05,0.90086,0.9996,8779.2,1,1000,1.3863,27396,3039.6,4.6229e+07,5.4366e+06,9.8478e+06,9.7249,149.16,152.75,3991.2,20,3991.2
5.0885e+05,0.085878,0.59473,7490,1,1000,1.3863,3.5784e+05,8389.8,4.3328e+08,1.3872e+06,4.7557e+06,76.353,106.4,44.96,3992.3,21,3992.3
3.0781e+05,0.64227,0.44902,5598.4,1,1000,1.3863,1.8123e+05,7881.3,7.803e+08,2.8662e+06,8.0082e+06,136.49,58.409,199.51,4000.2,22,4000.2
35599,0.58735,0.4578,5767.6,1,1000,1.3863,4.4806e+05,5975.3,8.8402e+08,5.9318e+06,8.7255e+06,188.76,109.95,145.83,3997.7,23,3997.7
9.3439e+05,0.39857,0.77056,6669.1,1,1000,1.3863,4.6675e+05,6684.8,2.0681e+08,9.7179e+06,9.8797e+06,141.46,153.08,82.27,3993.2,24,3993.2
5.627e+05,0.59887,0.45,9137.1,1,1000,1.3863,4.3207e+05,3888.8,4.5476e+08,2.0567e+06,8.9965e+06,49.337,156.88,176.57,3996.5,25,3996.5
2.8253e+05,0.87113,0.99731,4073.7,1,1000,1.3863,3.8129e+05,8825,2.8498e+08,3.9003e+06,4.979e+06,143.09,146.52,111.25,3996,26,3996
8.8556e+05,0.0093105,0.23535,7137.3,1,1000,1.3863,3.474e+05,8342.1,6.0965e+08,2.4623e+06,3.4271e+06,11.452,52.257,63.031,3988.6,27,3988.6
9.5141e+05,0.7151,0.60556,6575.8,1,1000,1.3863,1.8785e+05,5466.6,5.6194e+08,6.0467e+05,8.4247e+05,199.47,114.29,154.27,3992.4,28,3992.4
6.3483e+05,0.0043141,0.49933,1464.5,1,1000,1.3863,81949,3241.8,3.0175e+08,5.7084e+06,9.9685e+06,1.9343,94.809,26.306,3981.6,29,3981.6
73987,0.98789,0.79151,8877.5,1,1000,1.3863,2.7677e+05,5154.3,3.3071e+08,3.9453e+06,6.1347e+06,85.276,97.638,32.36,3992.8,30,3992.8
5.088e+05,0.61281,0.45,5933.6,1,1000,1.3863,4.0932e+05,8862.4,9.3111e+08,6.9539e+06,7.2016e+06,38.157,51.716,179.57,3991.9,31,3991.9
8.3791e+05,0.048207,0.0013785,4270.3,1,1000,1.3863,1.7345e+05,5167.2,5.5671e+08,4.3028e+06,6.9375e+06,1.8474,143.32,79.608,3978,32,3978
59837,0.99713,0.99723,4604.6,1,1000,1.3863,4.7261e+05,7837.1,7.0558e+08,1.5645e+05,8.6371e+06,10.576,66.038,121.72,3993.5,33,3993.5
6.0359e+05,0.22136,0.99998,6711.6,1,1000,1.3863,39035,6690.7,5.0023e+08,4.3518e+06,8.3222e+06,47.34,117.93,12.923,3994.3,34,3994.3
1.5172e+05,0.0018073,0.060668,5161.8,1,1000,1.3863,3.087e+05,5195.6,8.6387e+08,7.6668e+06,8.4871e+06,22.213,59.213,33.3,3992.3,35,3992.3
7.6526e+05,0.020368,0.77873,5855.9,1,1000,1.3863,4.5841e+05,9869.5,5.0515e+08,4.4063e+06,9.4192e+06,17.683,12.416,91.839,3990.3,36,3990.3
2.469e+05,0.77134,0.22613,3672,1,1000,1.3863,3.2796e+05,4519.5,8.397e+08,4.0139e+06,8.3336e+06,106.88,111.94,135.78,3998.3,37,3998.3
2.6471e+05,0.941,0.37693,4294,1,1000,1.3863,2.0181e+05,3901.9,3.6047e+08,1.1921e+06,4.9507e+06,37.455,80.371,49.856,3992.2,38,3992.2
11288,0.18918,0.45,2206.8,1,1000,1.3863,3.532e+05,2435.7,7.8508e+08,1.3865e+06,5.9889e+06,14.818,78.777,0.67882,36178,39,36178
77674,0.99767,0.18177,2647.1,1,1000,1.3863,4.5053e+05,9393.7,2.2122e+08,2.6107e+05,9.5468e+06,72.797,54.734,73.789,3993.5,40,3993.5
5.5679e+05,0.44919,0.7258,6451.3,1,1000,1.3863,2.153e+05,9615.6,7.6242e+08,2.2803e+06,3.7086e+06,199.05,144.32,140.81,3998.4,41,3998.4
5.9568e+05,0.33257,0.45,9091,1,1000,1.3863,4.4546e+05,8563.8,4.0246e+08,4.424e+06,9.0436e+06,63.604,121.73,182.04,3996.3,42,3996.3
4.0982e+05,0.0020613,0.19327,3218.7,1,1000,1.3863,16590,5324.1,7.1651e+08,2.415e+06,2.4315e+06,6.0975,50.307,4.757,3989.2,43,3989.2
1.969e+05,0.61214,0.21964,3603.7,1,1000,1.3863,77080,9564.1,9.3566e+08,2.8743e+06,5.0166e+06,166.04,145.91,26.516,3996,44,3996
3.5379e+05,0.12041,0.0057224,5044.2,1,1000,1.3863,3.8077e+05,7624,5.7607e+08,1.9817e+06,6.7227e+06,141.03,123.76,42.615,3992.6,45,3992.6
9.0738e+05,0.37123,0.50344,9464.9,1,1000,1.3863,2.1576e+05,6944.5,2.5681e+08,6.7144e+06,8.3717e+06,1.6256,151.34,199.28,4068.6,46,4068.6
7.2965e+05,0.37385,0.45,6500.4,1,1000,1.3863,4.8575e+05,569.33,4.5035e+08,5.9497e+06,9.6216e+06,116.49,137.33,143.89,3996.8,47,3996.8
4.0314e+05,0.088642,0.98831,1522.2,1,1000,1.3863,92889,1932.2,3.4167e+08,5.7326e+06,7.8973e+06,187.22,7.1444,10.144,3992.7,48,3992.7
4.098e+05,0.88332,0.008771,8106.1,1,1000,1.3863,4.2929e+05,9110.7,6.9965e+08,3.2094e+06,5.1141e+06,164.07,49.17,113.86,3992.5,49,3992.5
3.2465e+05,0.45221,0.45,7890.3,1,1000,1.3863,30303,7256.9,5.5657e+08,2.6988e+06,5.2464e+06,105.87,166,171.75,4002,50,4002
2.6282e+05,0.85057,0.99754,6392.8,1,1000,1.3863,4.8633e+05,7103.8,3.1189e+08,5.8472e+06,9.4811e+06,62.07,167.32,171.77,3996.9,51,3996.9
8.2831e+05,0.67687,0.45,3934.1,1,1000,1.3863,30514,5846.4,2.8514e+08,4.7608e+06,9.081e+06,165.55,38.197,88.506,3997.7,52,3997.7
3.7064e+05,0.23952,0.00093127,7898,1,1000,1.3863,2.7609e+05,366.2,5.39e+07,6.5012e+06,9.7484e+06,124.27,60.652,25.582,3992.8,53,3992.8
1.9471e+05,0.78115,0.45,9952.2,1,1000,1.3863,37984,5870.2,4.1391e+08,4.2423e+06,7.2886e+06,61.827,52.767,151.75,3998.2,54,3998.2
