mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
2.3615e+06,0.953,0.18,0.6279,1,1000,1.3863,2.4388e+05,0.063591,4.0458e+05,19.203,277.75,0.44837,0.36582,0.685,5.3554e+06,1,5.3554e+06
2.08e+06,0.97968,0.27645,0.42359,1,1000,1.3863,4.7851e+05,0.0014647,5.254e+05,0.00071827,696.33,0.87619,0.99845,0.99889,2.0114e+05,2,2.0114e+05
1.2058e+06,0.8335,0.18959,0.72815,1,1000,1.3863,4.3444e+05,0.26483,44478,100,1997.4,0.83929,0.49951,0.74698,1.189e+05,3,1.189e+05
1.4038e+06,0.30156,0.22215,0.54668,1,1000,1.3863,3.7693e+05,0.019284,3.3086e+05,72.087,542.54,0.43012,0.15802,0.48956,1.553e+06,4,1.553e+06
2.0795e+06,0.60705,0.18,0.32757,1,1000,1.3863,5.2341e+05,0.75508,3.774e+05,76.885,334.51,0.21602,0.79041,0.685,1.5065e+22,5,1.5134e+22
1.3395e+06,0.43694,0.063717,0.028329,1,1000,1.3863,5.4479e+05,0.98854,5.1442e+05,78.906,637.04,0.66136,0.0028859,0.30063,1.5476e+21,6,1.5476e+21
1.586e+06,0.39174,0.17365,0.25901,1,1000,1.3863,4.1363e+05,0.078533,1.117e+05,92.498,1198.9,0.23115,0.49401,0.75014,2.622e+05,7,2.622e+05
2.6232e+06,0.72258,0.166,0.00052236,1,1000,1.3863,5.7184e+05,0.64541,5.8279e+05,52.753,959.05,0.79986,0.86322,0.66421,7.1512e+22,8,7.1791e+22
1.8408e+06,0.4753,0.18175,0.73935,1,1000,1.3863,5.2054e+05,0.23035,4.9809e+05,99.542,1260.4,0.90163,0.5758,0.68726,3.489e+05,9,3.489e+05
1.8243e+06,0.31189,0.18,0.92831,1,1000,1.3863,4.6438e+05,0.72975,8.9075e+05,86.271,968.59,0.9823,0.76903,0.88145,2.6071e+05,10,2.6071e+05
3.3869e+05,0.6427,0.18,0.36241,1,1000,1.3863,5.3794e+05,0.20941,5.5229e+05,12.308,410.99,0.62988,0.031991,0.91471,1.2716e+19,11,1.3917e+21
1.5975e+06,0.60077,0.17744,0.57053,1,1000,1.3863,2.5861e+05,0.21433,42652,12.47,980.71,0.42346,0.42552,0.88869,1.6666e+05,12,1.6666e+05
7.7673e+05,0.96316,0.20957,0.99709,1,1000,1.3863,5.412e+05,0.89091,2.7029e+05,10.499,284.09,0.31744,0.46032,0.93211,7.4504e+20,13,7.5064e+20
3.7753e+05,0.92077,0.27602,0.87719,1,1000,1.3863,2.6658e+05,0.72027,5.7371e+05,98.467,1769.7,0.99531,0.93478,0.77751,34044,14,34044
1.0437e+06,0.49782,0.17954,0.93865,1,1000,1.3863,5.1422e+05,0.38567,1.776e+05,46.707,1296.4,0.38515,0.1316,0.33076,5.8351e+06,15,5.8351e+06
6.959e+05,0.76396,0.18,0.054239,1,1000,1.3863,2.1009e+05,0.84223,5.5903e+05,89.849,236.31,0.8541,0.34787,0.74601,6.135e+22,16,6.1952e+22
2.3391e+06,0.8598,0.1776,0.53213,1,1000,1.3863,5.9537e+05,0.9977,7.0692e+05,18.091,719.27,0.99949,0.29132,0.78128,6.797e+22,17,6.797e+22
1.5117e+06,0.93853,0.18,0.67539,1,1000,1.3863,2.2268e+05,0.52187,3.3585e+05,74.555,1472.5,0.17089,0.20245,0.67573,1.3386e+18,18,2.1568e+19
4.0008e+05,0.36733,0.24727,8.8931e-07,1,1000,1.3863,4.2431e+05,0.24105,5.974e+05,7.1117e-06,602.48,0.4266,1,0.9999,35401,19,35401
3.7373e+05,0.44645,0.20445,0.5724,1,1000,1.3863,2.3735e+05,0.33055,4.5606e+05,6.0838,1689.1,0.99834,0.9956,0.74743,22937,20,22937
2.5123e+06,0.53667,0.18,0.10915,1,1000,1.3863,4.5243e+05,0.089892,80862,4.8447,1335.8,0.77724,0.90513,0.83377,1.4269e+05,21,1.4269e+05
1.7587e+06,0.57756,0.18,0.69253,1,1000,1.3863,4.4139e+05,0.5261,7.2971e+05,78.018,675.17,0.70725,0.78138,0.58798,7.9196e+05,22,7.9196e+05
2.4371e+06,0.83382,0.19439,0.87311,1,1000,1.3863,4.4315e+05,0.7601,1.0481e+05,7.3817,177.05,0.11351,0.42608,0.81779,1.2521e+21,23,1.2598e+21
