mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
2920200,0.0014984,0.00056013,0.6,1,1000,1000,0.16325,6.9118E-13,489660000,0.41271,10,4.0259E-07,5.1243E-11,0.035176,107390000000000,0,107390000000000
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,85.071,1.6405e-08,9.2961e+08,696.67,582.79,7.8552e-06,87.902,98.891,1.1126e+14,1,1.1126e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,0.052237,2.5328e-08,6.1257e+08,989.95,527.68,1.1988e-05,80.135,22.784,1.113e+14,2,1.113e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,75.148,2.6031e-08,5.7466e+08,999.59,999.99,5.5106e-06,99.775,83.087,1.1124e+14,3,1.1124e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,99.902,1.8319e-08,6.6094e+08,998.48,805.44,0.16164,39.067,5.9133e-06,2.0704e+14,4,2.0704e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,99.235,7.4792e-11,1.6982e+07,848.88,999.97,7.101e-11,7.6768,100,1.1118e+14,5,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,55.229,1.8434e-08,3.1991e+07,614.71,362.41,0.00024766,48.957,19.251,1.1367e+14,6,1.1367e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.8171e-06,2.9266e-08,1.7103e+08,125.79,0.0040763,5.8944e-08,0.00050534,2.8144e-06,1.0672e+14,7,1.0672e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,69.516,1.4607e-08,5.358e+08,445.18,123.93,1.2259e-05,85.3,87.392,1.1131e+14,8,1.1131e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,27.029,6.1008e-09,5.6498e+08,640.31,417.03,5.1494e-06,94.793,8.207,1.1123e+14,9,1.1123e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,10.571,4.157e-09,1.6646e+08,620.96,573.71,0.00026039,93.12,72.866,1.138e+14,10,1.138e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.7028e-11,2.9262e-08,8.6044e+08,577.14,0.0098025,3.4718e-06,100,99.999,1.1122e+14,11,1.1122e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.4189e-06,2.9266e-08,1.3393e+08,2.1918,7.7766e-11,2.9064e-18,0.00043414,7.3178e-12,1.0671e+14,12,1.0671e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,0.0029656,1.8972e-08,2.5228e+07,999.97,999.99,1.1066e-05,89.485,43.387,1.1129e+14,13,1.1129e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,95.3,5.1832e-09,6.6281e+08,329.3,896.85,4.1314e-09,87.348,0.042814,1.1103e+14,14,1.1103e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,29.402,2.9251e-08,2.8785e+08,421.66,448.3,3.5422e-06,33.218,99.55,1.1122e+14,15,1.1122e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,17.813,1.0525e-08,5.6705e+07,521.89,335.85,4.3917e-06,20.89,90.516,1.1123e+14,16,1.1123e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,0.59622,1.3737e-08,9.1213e+08,100.39,759.38,5.0492e-07,99.512,0.00032578,1.1037e+14,17,1.1037e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,59.721,8.778e-09,1.3412e+08,212.6,894.94,0.00035726,24.249,5.3754,1.1476e+14,18,1.1476e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,97.95,1.9716e-12,8.9719e+08,0.048129,276.19,1.324e-09,0.00097097,0.042583,1.0742e+14,19,1.0742e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,99.539,9.719e-09,2.9735e+08,62.045,298.24,0.00023176,50.543,76.143,1.1351e+14,20,1.1351e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,50.649,2.6308e-09,8.0862e+07,769.73,904.76,8.8084e-06,99.555,51.731,1.1127e+14,21,1.1127e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,33.81,8.6034e-09,7.4631e+08,10.336,48.448,1.6698e-05,60.347,52.61,1.1135e+14,22,1.1135e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,0.30781,2.0701e-08,7.8138e+08,0.085989,590.07,1.3914e-05,26.016,6.1053,1.1132e+14,23,1.1132e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,78.018,9.8797e-09,6.0787e+08,741.25,104.81,0.00063944,54.954,48.523,1.1756e+14,24,1.1756e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,89.048,2.3382e-08,7.3434e+08,51.332,72.885,0.00044264,79.835,94.301,1.1562e+14,25,1.1562e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,71.325,3.8765e-09,7.2272e+08,0.55178,874.79,1.6016e-05,61.012,69.237,1.1134e+14,26,1.1134e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,91.889,1.7041e-08,7.4003e+08,999.99,896,2.035e-05,78.921,100,1.1139e+14,27,1.1139e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,54.872,1.0793e-08,6.8503e+08,123.69,1000,9.1844e-06,17.867,99.998,1.1127e+14,28,1.1127e+14
