mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
2.9202e+06,0.0014984,0.00056013,3786,1,1000,1.3863,1.5922e+05,3530.3,5.4789e+08,5.3917e+06,6.9807e+06,0.949,1.9183e+05,5e+05,9.1776e+13,1,9.1776e+13
2.9202e+06,0.0014984,0.00056013,5612,1,1000,1.3863,3.3326e+05,1781.3,1.2805e+08,1.9043e+06,3.6892e+06,0.99908,85561,16300,9.2063e+13,2,9.2063e+13
2.9202e+06,0.0014984,0.00056013,1891.1,1,1000,1.3863,2.304e+05,9999.1,1.5644e+08,4.2825e+06,4.8202e+06,0.94933,3.2243e+05,1.8808e+05,9.1776e+13,3,9.1776e+13
2.9202e+06,0.0014984,0.00056013,252.59,1,1000,1.3863,1.1926e+05,1581.9,2.2622e+08,8.2459e+06,9.8288e+06,0.94959,3.697e+05,2.2087,9.1482e+13,4,9.1482e+13
2.9202e+06,0.0014984,0.00056013,8139.5,1,1000,1.3863,3.1307e+05,2724.7,5.8409e+08,2.614e+06,7.466e+06,0.94938,5e+05,5e+05,9.1776e+13,5,9.1776e+13
2.9202e+06,0.0014984,0.00056013,2.0092e-10,1,1000,1.3863,6933.6,3.6382,3.1318e+08,4.7927e+06,1e+07,0.99801,19425,8.0785,9.2044e+13,6,9.2044e+13
2.9202e+06,0.0014984,0.00056013,5858.1,1,1000,1.3863,3.2049e+05,225.67,6.8843e+07,6.1095e+06,7.788e+06,0.94939,2.6731e+05,3.2596e+05,9.1776e+13,7,9.1776e+13
2.9202e+06,0.0014984,0.00056013,2604.5,1,1000,1.3863,448.33,10000,2.665e+08,4.7926e+06,8.7648e+06,0.94939,3.1885e+05,3.8256e+05,9.1776e+13,8,9.1776e+13
2.9202e+06,0.0014984,0.00056013,2890.1,1,1000,1.3863,2.5903e+05,9438.1,6.3772e+08,6.7181e+06,6.9514e+06,0.94938,1.2036e+05,3.3806e+05,9.1776e+13,9,9.1776e+13
2.9202e+06,0.0014984,0.00056013,7695.6,1,1000,1.3863,33823,2654.3,2.2407e+08,4.6092e+06,7.7016e+06,0.94372,4.2219e+05,1.7235e+05,9.178e+13,10,9.178e+13
2.9202e+06,0.0014984,0.00056013,4734.9,1,1000,1.3863,1.6124e+05,7847.4,4.7138e+08,1.5272e+06,3.4112e+06,0.035763,87937,3.6088e+05,5.9262e+16,11,5.9262e+16
2.9202e+06,0.0014984,0.00056013,2202.9,1,1000,1.3863,5e+05,3.9537e-15,7.3844e+08,1.7683e+06,2.8697e+06,0.94938,2.9065e+05,1.3726e+05,9.1776e+13,12,9.1776e+13
2.9202e+06,0.0014984,0.00056013,5952.5,1,1000,1.3863,40612,9981.5,6.8338e+08,1.1934e+06,6.0741e+06,0.94995,2.0724e+05,3.3564e+05,9.1776e+13,13,9.1776e+13
2.9202e+06,0.0014984,0.00056013,6710.4,1,1000,1.3863,2.2778e+05,26.856,6.6196e+08,2.5643e+06,6.1346e+06,0.94938,1.8102e+05,3.2849e+05,9.1776e+13,14,9.1776e+13
2.9202e+06,0.0014984,0.00056013,6125.6,1,1000,1.3863,2.8956e+05,8464.8,8.6995e+08,1.0622e+06,1.0975e+06,0.94873,1.6857e+05,29590,9.1776e+13,15,9.1776e+13
2.9202e+06,0.0014984,0.00056013,49.928,1,1000,1.3863,69863,2951,4.4839e+08,9.3286e+06,9.7273e+06,0.94938,3.7793e+05,3.058e+05,9.1776e+13,16,9.1776e+13
2.9202e+06,0.0014984,0.00056013,6312,1,1000,1.3863,93954,9956.9,6.9628e+08,6.7143e+06,7.4126e+06,0.45995,2.6262e+05,2.6434e+05,2.2199e+14,17,2.2199e+14
2.9202e+06,0.0014984,0.00056013,9527.9,1,1000,1.3863,2.6088e+05,9967.4,1.5003e+08,2.4278e+06,4.424e+06,0.94555,1.3476e+05,25751,9.1777e+13,18,9.1777e+13
2.9202e+06,0.0014984,0.00056013,8345.6,1,1000,1.3863,2.8666e+05,10000,7.3635e+08,1.5702e+05,3.3119e+06,0.9493,3.6465e+05,3.4478e+05,9.1776e+13,19,9.1776e+13
2.9202e+06,0.0014984,0.00056013,9968.9,1,1000,1.3863,2.1159e+05,3572.6,1.9709e+08,7.9041e+06,9.493e+06,0.94937,2.1497e+05,4.4393e+05,9.1776e+13,20,9.1776e+13
2.9202e+06,0.0014984,0.00056013,4617.3,1,1000,1.3863,61914,27.064,4.3867e+08,1.5347e+06,2.0054e+06,0.93623,2.7828e+05,1.1632,9.1505e+13,21,9.1505e+13
2.9202e+06,0.0014984,0.00056013,105.1,1,1000,1.3863,1.908e+05,9967.1,8.2559e+08,1.1363e+06,1.3512e+06,0.94903,86045,5e+05,9.1776e+13,22,9.1776e+13
2.9202e+06,0.0014984,0.00056013,8507.3,1,1000,1.3863,3.3933e+05,4954.5,1.8974e+08,5.6056e+06,9.2961e+06,0.98829,73804,27488,9.1955e+13,23,9.1955e+13
2.9202e+06,0.0014984,0.00056013,8654.4,1,1000,1.3863,3.4833e+05,5827.5,8.154e+08,6.1257e+06,9.8995e+06,0.99858,4.9446e+05,263.86,9.2049e+13,24,9.2049e+13
2.9202e+06,0.0014984,0.00056013,5504.5,1,1000,1.3863,2.3995e+05,5365.6,8.0136e+08,6.2618e+06,6.6122e+06,0.94935,2.3082e+05,4.7833e+05,9.1776e+13,25,9.1776e+13
2.9202e+06,0.0014984,0.00056013,5800.9,1,1000,1.3863,3.6488e+05,8907.5,9.823e+08,1.6983e+05,1.2086e+06,0.76903,2.9072e+05,4.6416e+05,9.815e+13,26,9.815e+13
