mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
4.8495e+06,0.97865,0.99728,718.42,1,1000,1.3863,2.2752e+05,3196,5.3088e+08,11.64,6.1096e+06,2.996,4.2984,2.9949,9.6367e+07,1,9.6368e+07
5.2637e+05,0.48871,0.38159,1.2226,1,1000,1.3863,4.5508e+05,9571.4,2.4074e+08,68.435,8.4439e+06,1.8241,1.3864,2.0553,15999,2,15999
2.0553e+05,0.62371,0.45,641.19,1,1000,1.3863,3.3778e+05,7805.2,6.7534e+08,46.092,7.7016e+06,0.020146,3.0109,1.9339,2.1337e+07,3,2.1337e+07
9.3306e+05,0.53879,0.45,331.44,1,1000,1.3863,3.2899e+05,7847.4,4.7138e+08,19.175,7.3843e+06,0.10729,0.87937,2.01,9.5383e+08,4,9.5383e+08
2.9658e+06,0.77835,0.45,63.779,1,1000,1.3863,2.9714e+05,9174.2,2.6909e+08,42.573,6.4444e+06,2.2965,0.94331,1.4375,2.2875e+08,5,2.2875e+08
7.977e+05,0.30152,0.65928,37.847,1,1000,1.3863,4.5864e+05,0.11556,6.358e+08,20.625,6.6191e+06,2.0145,0.74942,1.4391,27482,6,27482
3.1446e+06,0.54004,0.37213,2.2123,1,1000,1.3863,5.0813e+05,3058,6.6202e+08,98.978,2.6478e+06,2.9996,4.666,2.9997,19121,7,19121
3.3071e+06,0.62828,0.37704,2.0343,1,1000,1.3863,3.2723e+05,1102.9,9.3983e+08,99.716,9.937e+06,2.0916,2.2233,1.884,29447,8,29447
3.8648e+06,0.86688,0.99725,256.07,1,1000,1.3863,2.8747e+05,1058,1.0973e+08,93.241,9.7274e+06,0.1036,4.2761,1.5462,8.9183e+06,9,8.9183e+06
2.5273e+06,0.30138,0.35961,602.79,1,1000,1.3863,2.7681e+05,1388.7,6.9628e+08,74.079,5.2005e+06,0.26495,2.2748,2.5372,6.5596e+07,10,6.5596e+07
2.3235e+06,0.60553,0.33546,169.95,1,1000,1.3863,3.3909e+05,1500,5.8611e+08,73.681,3.9471e+06,2.7382,0.16278,1.6833,9.2016e+08,11,9.2016e+08
1.1459e+06,0.8752,0.45,189.19,1,1000,1.3863,4.7337e+05,7040.5,4.4233e+08,88.777,3.9118e+06,0.058733,1.6543,2.1215,5.8989e+08,12,5.8989e+08
4.7567e+06,0.54424,0.37632,553.28,1,1000,1.3863,5.0765e+05,3967.9,8.0852e+08,43.88,8.335e+06,1.8662,1.9816,2.9904,2.0843e+08,13,2.0843e+08
9.4281e+05,0.30071,0.28425,107.07,1,1000,1.3863,5.0754e+05,1442,8.6199e+08,99.988,8.2558e+06,2.9794,3.0937,3,18830,14,18830
2.5872e+06,0.55986,0.36309,676.66,1,1000,1.3863,4.5834e+05,0.00078211,5.3408e+08,15.482,4.0725e+05,0.20161,0.4755,0.67845,7.5884e+05,15,7.5885e+05
