mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
2.9202e+06,0.0014984,0.00056013,1010.1,1,1000,1.3863,1.9015e+05,728.56,4.403e+08,1.6283e+05,8.8442e+06,1,1.5239e+05,2.0332e+05,4300,1,4300
2.9202e+06,0.0014984,0.00056013,7264.9,1,1000,1.3863,1.0516e+05,6836.5,1.5442e+08,4.9718e+06,6.0721e+06,1,2.5133e+05,4.457e+05,4300,2,4300
2.9202e+06,0.0014984,0.00056013,8760,1,1000,1.3863,1.7464e+05,5262.9,7.9692e+08,9.3319e+05,2.0668e+06,1,1.4634e+05,1.7408e+05,4300,3,4300
2.9202e+06,0.0014984,0.00056013,251.96,1,1000,1.3863,1.5138e+05,3514.3,7.2676e+08,5.3007e+06,6.6605e+06,1,25956,39282,4300,4,4300
2.9202e+06,0.0014984,0.00056013,8038.5,1,1000,1.3863,3.0386e+05,4195.2,1.1083e+08,7.3076e+06,9.0088e+06,1,1.2465e+05,2.5459e+05,4300,5,4300
2.9202e+06,0.0014984,0.00056013,4070.8,1,1000,1.3863,2.3202e+05,4693.6,1.5385e+08,1.2658e+06,9.2543e+06,1,4.3813e+05,2.4431e+05,4300,6,4300
2.9202e+06,0.0014984,0.00056013,4822.9,1,1000,1.3863,2785,1864,3.2409e+08,3.3354e+06,5.8023e+06,1,72268,3.6468e+05,4300,7,4300
2.9202e+06,0.0014984,0.00056013,558.37,1,1000,1.3863,1.4392e+05,2639.7,2.5993e+08,2.5873e+06,4.3993e+06,1,2.5991e+05,38377,4300,8,4300
2.9202e+06,0.0014984,0.00056013,7467.7,1,1000,1.3863,1.4214e+05,6787.3,9.4958e+08,5.8603e+06,7.7306e+06,1,3.1807e+05,3.7679e+05,4300,9,4300
2.9202e+06,0.0014984,0.00056013,1418,1,1000,1.3863,1.9624e+05,6052.9,2.4746e+08,9.887e+05,8.2063e+06,0.2902,9666.3,1.7365e+05,8710.6,10,8710.6
