mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
2920200,0.0014984,0.00056013,0.6,1,1000,1000,0.16325,6.9118E-13,489660000,0.41271,10,4.0259E-07,5.1243E-11,0.035176,107390000000000,0,107390000000000
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.1151,2.9173e-08,4.8946e+08,100,100,4.3812e-07,0.0034922,0.00017691,1.0704e+14,1,1.0704e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,6.8801e-08,3.1317e-11,5.4596e+08,79.194,99.997,3.8262e-07,1.6401e-08,9.8142,1.0757e+14,2,1.0757e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,6.6634,1.5778e-08,6.9811e+08,66.653,17.813,0.00064007,9.9908,1.7112,1.1756e+14,3,1.1756e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,0.32602,1.6424e-08,8.8187e+08,66.917,19.043,9.2229e-06,4.6072,9.8164,1.1127e+14,4,1.1127e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.3693,2.926e-08,6.4476e+08,3.3166e-09,7.1614e-11,4.8782e-08,0.010795,0.0041764,1.0677e+14,5,1.0677e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,9.9999,7.2605e-09,3.8462e+08,99.887,100,3.0522e-08,0.0051614,2.3086,1.0813e+14,6,1.0813e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,8.2438,2.8759e-08,7.3025e+08,34.388,58.407,0.00053885,9.0631,8.7965,1.1656e+14,7,1.1656e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.3977,2.9266e-08,5.9441e+08,1.6223e-07,99.997,1.2395e-05,0.0008691,0.01801,1.0738e+14,8,1.0738e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,8.715,2.9265e-08,5.9852e+08,99.492,0.067342,8.1104e-08,1.6786,0.24303,1.1113e+14,9,1.1113e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,0.13191,8.1046e-12,1.0081e+08,100,4.9498,3.9216e-09,1.6299,1.362e-06,1.1031e+14,10,1.1031e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,10,1.1111e-08,1.0564e+08,1.6693,21.41,1.0605e-05,0.0038612,0.020552,1.0775e+14,11,1.0775e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,5.905,2.9266e-08,4.3972e+08,1.3785e-14,0.012192,7.9251e-13,0.0037439,0.00037276,1.0667e+14,12,1.0667e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.7348,2.926e-08,2.4071e+08,0.095621,100,1.8348e-08,0.00065824,9.9998,1.0756e+14,13,1.0756e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,9.9999,3.0699e-11,6.6783e+08,20.525,99.998,1.4332e-06,10,0.04912,1.1106e+14,14,1.1106e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,7.505,1.1346e-08,9.1599e+08,0.79276,99.74,5.0693e-08,0.00011482,0.41853,1.0755e+14,15,1.0755e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.2247,2.2966e-08,4.7136e+08,3.5763,17.587,5.5043e-05,4.7348,1.5271,1.1173e+14,16,1.1173e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,0.018724,1.7803e-08,1.9175e+08,8.2833,99.998,7.468e-05,9.9633,6.5992,1.1193e+14,17,1.1193e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,7.0523,2.9266e-08,2.6053e+07,0.0014031,0.0035483,4.0096e-08,0.079186,0.0082313,1.1017e+14,18,1.1017e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,8.3301,2.9234e-08,8.7509e+08,100,12.034,4.503e-08,8.2419,9.2476e-07,1.1035e+14,19,1.1035e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,7.3248,1.3209e-08,4.5873e+08,99.772,81.855,8.5336e-06,7.6607,9.9705,1.1126e+14,20,1.1126e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,0.00011518,2.9266e-08,2.1697e+08,9.4604e-17,0.0060953,5.0162e-22,0.0054155,0.0012246,1.0666e+14,21,1.0666e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,7.3031e-06,2.9266e-08,9.3983e+08,2.3203,1.1474e-10,5.064e-17,0.00043956,5.7467e-14,1.0673e+14,22,1.0673e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,0.56423,2.9261e-08,5.2274e+08,99.539,31.536,9.8365e-12,4.6446e-05,8.2295e-08,1.0673e+14,23,1.0673e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.2618,1.3138e-08,3.6582e+08,76.35,99.814,4.1893e-06,6.8665,9.7277,1.1122e+14,24,1.1122e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,0.0064735,2.9266e-08,6.9627e+08,99.999,99.998,1.8396e-10,0.0091825,0.0056933,1.0813e+14,25,1.0813e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.909,1.9655e-08,7.4126e+08,0.25998,18.951,3.7485e-06,5.7783,2.6129,1.1121e+14,26,1.1121e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,6.4747,2.1838e-08,2.4279e+08,91.947,0.39261,6.3987e-06,6.9846,2.5874,1.1124e+14,27,1.1124e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,9.9999,2.265e-08,4.4231e+08,0.64929,100,2.2834e-10,2.7772e-05,0.15589,1.0752e+14,28,1.0752e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,0.00046771,2.9242e-08,8.878e+08,5.1474,99.998,3.0736e-13,0.00043319,3.8724,1.0755e+14,29,1.0755e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,9.9999,8.1465e-09,7.8951e+08,100,1.0935e-06,7.9393e-07,0.00045578,9.0308,1.0756e+14,30,1.0756e+14
