mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.1615e+05,2.4341e-08,2.6298e+08,6.5415e+08,6.8922e+08,3.6062e-11,88001,2561.2,1.1118e+14,1,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.1449e+05,2.673e-08,1.5238e+08,8.2582e+08,5.3834e+08,0.99613,39088,2.2134e+05,2.0874e+14,2,2.0874e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,52518,2.815e-08,4.6342e+06,7.7491e+08,8.173e+08,3.6103e-10,42474,1.9997e+05,1.1118e+14,3,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.9972e+05,1.4886e-13,4.3264e+08,5.4789e+08,5.4789e+08,0.070607,4842.2,18788,2.0444e+14,4,2.0444e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.9998e+05,8.3499e-11,5.4986e+08,1.4495e+08,8.5303e+08,4.7876e-10,0.00051296,3.4055e+05,1.0756e+14,5,1.0756e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.6771e+05,2.9263e-08,2.2048e+08,8.9293e+07,1.9053e+08,1.4727e-11,1.2291e-05,1.4683e+05,1.0757e+14,6,1.0757e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.9894e+05,2.765e-08,4.9086e+08,4.8923e+08,3.3774e+08,4.4067e-07,31589,1.387,1.1118e+14,7,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.9023e+05,9.591e-09,2.4169e+08,4.0391e+08,9.6455e+07,8.2359e-11,4.7115e+05,4.7808e+05,1.1118e+14,8,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.971e+05,2.9233e-08,1.7391e+08,3.6136e+08,8.2233e+08,3.121e-12,35204,0.010172,1.1059e+14,9,1.1059e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.6146e+05,1.547e-08,6.4775e+08,4.5093e+08,5.4701e+08,7.1619e-06,4.9936e+05,2.7731e+05,1.1126e+14,10,1.1126e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.4335e+05,5.093e-09,3.6848e+08,6.2562e+08,7.8023e+08,6.2092e-09,4.6468e+05,3.8788e+05,1.1118e+14,11,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.3231e+05,1.2755e-08,4.4678e+08,3.0635e+08,5.0851e+08,0.00010675,4.4546e+05,4.9949e+05,1.1226e+14,12,1.1226e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.6014e+05,6.993e-11,8.1157e+08,4.4186e+08,4.4186e+08,0.81346,4.2576e+05,5e+05,2.0867e+14,13,2.0867e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.5554e+05,2.9165e-08,2.0774e+08,3.0125e+08,4.7092e+08,2.4808e-11,2.6594e+05,29637,1.1118e+14,14,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.6975e+05,2.9291e-15,2.2762e+08,3.7392e+08,3.7286e+08,2.4402e-11,2.5225e+05,49287,1.1118e+14,15,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.9981e+05,2.8673e-08,4.3887e+08,1.1112e+08,2.5806e+08,5.0877e-08,3.26e+05,225.34,1.1118e+14,16,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.9671e+05,2.0904e-08,2.2175e+08,1.1742e+08,2.9668e+08,5.0087e-10,4.9982e+05,0.033337,1.1094e+14,17,1.1094e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,63134,9.0179e-09,8.0101e+08,2.9216e+07,9.2881e+08,9.0756e-07,0.00032664,1.2583e+05,1.0757e+14,18,1.0757e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.1864e+05,1.3429e-08,9.6309e+08,5.4681e+08,5.2114e+08,0.23159,2.4445e+05,3.1203e+05,2.0769e+14,19,2.0769e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,5e+05,2.5485e-15,2.7076e+08,8.6897e+07,8.6897e+07,0.78599,44.821,4.3809,2.0865e+14,20,2.0865e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,49356,7.6639e-09,3.3536e+08,6.7973e+08,1.3655e+08,0.29415,53381,3.2688e+05,2.0798e+14,21,2.0798e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.8356e+05,2.2821e-08,7.1504e+08,9.0358e+06,8.9085e+06,2.0654e-10,2.8341e+05,450.78,1.1118e+14,22,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.3098e+05,1.2027e-08,5.0002e+08,4.8121e+06,9.049e+06,4.9983e-12,3.1285e+05,5e+05,1.1118e+14,23,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.996e+05,1.5008e-08,1.8292e+08,2.3995e+06,8.8656e+06,6.7971e-07,0.018208,2.2583e+05,1.0958e+14,24,1.0958e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,363.14,5.8672e-12,5.0047e+08,90926,90926,2.736e-18,1.1311e+05,1.9258e+05,1.1118e+14,25,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.9906e+05,2.9265e-08,8.2055e+08,8.0817e+06,8.0817e+06,2.5171e-14,3.8257e+05,3.0929e+05,1.1118e+14,26,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.999e+05,2.9118e-08,8.0038e+08,4.4672e+06,4.4672e+06,1.7782e-14,82847,22503,1.1118e+14,27,1.1118e+14
