mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
9.196e+05,0.66082,0.18,0.99685,1,1000,1.3863,2.3815e+05,0.14651,6.3114e+05,43,983.61,0.85932,0.97422,0.87084,72265,1,72265
1.2642e+06,0.94305,0.25903,0.99807,1,1000,1.3863,2.2841e+05,0.93236,64634,19.268,517.17,0.86379,0.92803,0.92123,2.2676e+05,2,2.2676e+05
7.9006e+05,0.53765,0.25697,0.43179,1,1000,1.3863,5.5915e+05,0.59345,5.0384e+05,99.81,1401.8,0.90163,0.8921,0.99916,72932,3,72933
1.1172e+06,0.36665,0.16827,0.72692,1,1000,1.3863,3.5456e+05,0.66208,7.3427e+05,7.62e-06,1377.3,0.37714,0.6969,0.60565,3.0165e+05,4,3.0165e+05
8.5027e+05,0.54151,0.15175,0.03214,1,1000,1.3863,2.2013e+05,0.30993,8.3419e+05,4.4868,1039.4,7.8232e-05,0.76116,0.32821,3.2387e+05,5,3.2387e+05
1.0026e+06,0.3018,0.067828,0.75764,1,1000,1.3863,4.3983e+05,0.014368,56343,9.2986,1816.1,0.058053,0.018619,0.7558,3.6162e+06,6,3.6162e+06
1.3919e+06,0.99088,0.18,0.84871,1,1000,1.3863,2.4321e+05,0.517,1.4316e+05,27.142,201.5,0.55937,0.0045796,0.685,1.149e+23,7,1.1534e+23
1.4201e+06,0.77561,0.20566,0.20803,1,1000,1.3863,4.0314e+05,0.40263,7.6289e+05,94.208,1311.8,0.087511,0.8507,0.81581,3.3197e+20,8,3.3534e+20
9.526e+05,0.84424,0.27835,0.35372,1,1000,1.3863,3.8078e+05,0.62353,5.3262e+05,10.304,887.68,0.69621,0.99841,0.79233,1.304e+05,9,1.304e+05
5.3817e+05,0.37161,0.16024,0.14876,1,1000,1.3863,3.2007e+05,0.002007,8.3336e+05,25.85,595.12,0.19636,0.28762,0.64937,1.4122e+05,10,1.4123e+05
NaN,NaN,NaN,NaN,1,1000,1.3863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,398.98,11,398.98
4.9085e+05,0.70099,0.1091,0.9816,1,1000,1.3863,2.581e+05,0.012076,1.726e+05,99.999,1411.2,0.040966,1,0.99931,45353,12,45353
1.1911e+06,0.30514,0.18,0.96156,1,1000,1.3863,2.2734e+05,0.43633,1.7385e+05,70.595,1290.3,0.026107,0.95468,0.7306,3.3798e+05,13,3.3798e+05
7.2316e+05,0.43928,0.11376,0.77418,1,1000,1.3863,4.2092e+05,0.0010883,7.7237e+05,0.37681,1925.2,0.015861,0.53718,0.77484,2.2174e+05,14,2.2174e+05
1.1314e+06,0.38893,0.22186,0.20815,1,1000,1.3863,4.3664e+05,0.30182,8.5306e+05,16.115,457.33,0.61978,0.88389,0.46613,3.6604e+05,15,3.6604e+05
4.0041e+05,0.97001,0.00095512,0.25427,1,1000,1.3863,3.6154e+05,0.0027462,48739,81.79,1456.5,0.99817,0.53999,0.45516,82820,16,82820
9.0598e+05,0.60733,0.18,0.62518,1,1000,1.3863,2.7032e+05,0.36037,1.8879e+05,50.166,1523.1,0.0011984,0.31642,0.99962,3.8947e+27,17,4.5351e+28
3.1979e+05,0.40349,0.18,0.34726,1,1000,1.3863,5.0496e+05,0.57606,7.4766e+05,67.227,863.02,0.64553,0.12322,0.8044,5.7403e+23,18,5.7867e+23
7.1049e+05,0.3174,0.18,0.90644,1,1000,1.3863,4.7776e+05,0.25679,9758.6,83.717,1943,0.53228,0.27939,0.685,1.1579e+05,19,1.1579e+05
6.86e+05,0.88635,0.16125,0.51761,1,1000,1.3863,2.2277e+05,0.12271,5.8247e+05,5.6617,1958.5,0.99347,0.47084,0.99977,43231,20,43231
7.0787e+05,0.49104,0.17998,0.93278,1,1000,1.3863,3.1393e+05,0.59498,9.6216e+05,39.711,749.44,0.18558,0.19304,0.6413,4.0347e+27,21,1.5771e+30
5.0598e+05,0.53169,0.18779,0.99895,1,1000,1.3863,2.5245e+05,0.70381,91513,6.4314,992.58,0.86359,0.011176,0.91643,5.3793e+19,22,5.3814e+19
1.1706e+06,0.36043,0.31496,0.063749,1,1000,1.3863,4.5693e+05,0.37653,8.3706e+05,61.98,1200.5,0.9748,0.63042,1,70482,23,70482
4.9885e+05,0.70235,0.17647,0.70085,1,1000,1.3863,2.6906e+05,0.00024358,2.5529e+05,21.984,1993.1,1,0.85279,1,18197,24,18197
1.2792e+06,1,0.26814,0.49941,1,1000,1.3863,2.2538e+05,6.7718e-11,5.1175e+05,100,1128.2,0.75872,0.99091,0.79223,87142,25,87142
6.0551e+05,0.30001,0.17922,0.56501,1,1000,1.3863,5.0035e+05,0.00058889,1.0894e+05,0.57675,2000,0.39089,0.82937,1,57689,26,57690
5.7064e+05,0.30241,0.11628,0.72158,1,1000,1.3863,3.0215e+05,0.50604,8.3825e+05,99.999,757.14,0.68809,0.98544,0.50028,1.1553e+05,27,1.1553e+05
4.207e+05,0.36158,0.085054,0.50986,1,1000,1.3863,5.3063e+05,0.37739,2.076e+05,90.726,1104.3,0.37033,0.00066905,0.97196,3.4802e+20,28,3.5234e+20
8.9205e+05,0.79816,0.18,0.36429,1,1000,1.3863,2.1318e+05,0.053863,8.0506e+05,32.869,1300.2,0.45137,0.38265,0.685,1.8057e+05,29,1.8057e+05
1.4938e+06,0.4306,0.18,0.75877,1,1000,1.3863,5.8993e+05,0.075967,5.8702e+05,19.58,1984.7,0.41389,0.30914,0.56383,7.835e+05,30,7.835e+05
9.6811e+05,0.31724,4.5953e-09,0.17079,1,1000,1.3863,5.2079e+05,0.090498,7.2885e+05,3.821e-07,2000,0.75199,0.78967,0.96746,42233,31,42233
1.4925e+06,0.91245,0.00090556,0.050741,1,1000,1.3863,2.1567e+05,0.92422,7.6367e+05,67.904,806.99,0.0036109,0.1269,0.38738,4.1369e+28,32,4.1376e+28
1.4941e+06,0.974,0.073974,0.0029134,1,1000,1.3863,5.7399e+05,0.0023701,2.3179e+05,96.288,231.24,0.14614,0.87807,0.70047,1.8697e+05,33,1.8697e+05
9.0547e+05,0.47837,0.25837,0.53391,1,1000,1.3863,2.2058e+05,0.51617,5.8019e+05,99.861,878.31,0.72403,0.99961,0.99914,47663,34,47663
4.5359e+05,0.52879,0.18,0.19822,1,1000,1.3863,3.9139e+05,0.25684,3.6909e+05,47.11,807.94,0.66176,0.1696,0.57878,9.0717e+20,35,9.1823e+20
1.2203e+06,0.62547,0.18,0.87718,1,1000,1.3863,2.7169e+05,0.96892,4.0746e+05,89.844,858.48,0.84449,0.61533,0.67661,3.2548e+20,36,3.3984e+20
9.0566e+05,0.85042,0.19762,0.95731,1,1000,1.3863,3.3373e+05,0.967,9.0199e+05,7.7989,363.96,0.9985,0.99752,0.8213,1.1233e+06,37,1.1233e+06
4.7099e+05,0.3,6.4132e-05,0.10514,1,1000,1.3863,2.372e+05,0.99996,10767,0.60686,1978.1,0.70007,0.62272,0.46756,30533,38,30534
9.7225e+05,0.46876,0.18,0.0911,1,1000,1.3863,3.4165e+05,0.78045,4.3666e+05,85.721,1927.2,0.43655,0.049213,0.34963,3.4631e+22,39,3.4746e+22
1.0311e+06,0.94214,0.18,0.46123,1,1000,1.3863,3.9556e+05,0.22031,2.2621e+05,71.564,1155.5,0.53679,0.76211,0.64757,1.7469e+05,40,1.7469e+05
1.2439e+06,0.99963,0.18331,0.59092,1,1000,1.3863,3.7332e+05,0.92918,3.9305e+05,12.891,464.48,0.14187,0.78242,0.92203,2.3216e+25,41,2.3229e+25
4.7085e+05,0.55584,0.16079,0.35611,1,1000,1.3863,2.0945e+05,0.0030372,1.1081e+05,12.299,941.53,0.3202,0.88995,0.8522,24418,42,24418
1.3823e+06,0.30019,0.033701,9.8479e-05,1,1000,1.3863,5.4271e+05,2.6637e-09,6.9157e+05,14.544,1389.6,1,0.99998,0.58424,1.1946e+05,43,1.1946e+05
2.8707e+05,0.41692,1.5553e-08,0.48247,1,1000,1.3863,3.3849e+05,0.40772,1.5539e+05,100,1325.2,0.85322,1,0.78853,24980,44,24980
9.5727e+05,0.71811,0.00097204,0.11666,1,1000,1.3863,5.3245e+05,3.4119e-06,4.5731e+05,5.5959,1997.9,0.99712,0.99932,0.99999,40520,45,40520
6.214e+05,0.58125,0.18,0.25448,1,1000,1.3863,3.6309e+05,0.036382,7.4615e+05,38.619,1219.6,0.15483,0.14391,0.90596,1.0242e+06,46,1.0242e+06
1.1007e+06,0.87685,0.18,0.74037,1,1000,1.3863,2.6676e+05,0.18809,94629,29.337,618.74,0.32319,0.7696,0.53412,3.9811e+05,47,3.9811e+05
5.0375e+05,0.6195,0.18,0.68057,1,1000,1.3863,4.0921e+05,0.3253,8.3184e+05,53.86,1983.4,0.81029,0.557,0.56296,1.2731e+05,48,1.2731e+05
1.3143e+06,0.99179,0.18,0.60198,1,1000,1.3863,5.0209e+05,0.98045,2.3478e+05,54.088,415.46,0.52856,0.051436,0.685,6.2343e+27,49,6.28e+27
1.282e+06,0.6868,0.18,0.33813,1,1000,1.3863,2.8771e+05,0.32581,95949,89.283,713.01,0.74753,0.74851,0.8433,88455,50,88455
2.327e+05,0.30157,0.39735,0.5562,1,1000,1.3863,4.1856e+05,0.99853,6.228e+05,99.937,429.99,0.70053,0.9992,0.99993,36743,51,36743
1.4057e+06,0.33593,0.18053,0.28831,1,1000,1.3863,4.9795e+05,0.89292,2.426e+05,16.289,1676.8,0.12976,0.22635,0.64941,7.7686e+57,52,7.956e+57
6.3377e+05,0.45845,0.16962,0.40741,1,1000,1.3863,2.6702e+05,0.47764,9.9933e+05,68.318,1924.2,0.37593,0.047308,0.48528,3.8095e+19,53,2.7012e+25
1.1922e+06,0.87851,0.18,0.93247,1,1000,1.3863,3.7519e+05,0.94034,5834.3,79.258,658.08,0.61031,0.80108,0.53298,1.9622e+05,54,1.9622e+05
9.9916e+05,0.99368,0.18743,0.8635,1,1000,1.3863,2.8938e+05,0.0015619,5.8452e+05,82.644,1351.7,0.80986,0.41926,0.49133,4.2742e+05,55,4.2742e+05
1.2934e+06,0.54815,0.18,0.82144,1,1000,1.3863,2.9958e+05,0.47579,3.9908e+05,57.224,1401.6,0.59944,0.80052,0.40507,4.2399e+05,56,4.2399e+05
5.6045e+05,0.8061,0.4,0.3798,1,1000,1.3863,4.9626e+05,0.0035112,3.8851e+05,99.078,844.95,0.64315,0.83653,0.80759,1.0056e+05,57,1.0056e+05
3.93e+05,0.73387,0.18,0.78172,1,1000,1.3863,4.002e+05,0.52159,90166,44.566,1688,0.90467,0.88439,0.73899,53103,58,53103
5.0794e+05,0.86379,0.17352,0.14828,1,1000,1.3863,2.7846e+05,0.27258,4.8329e+05,97.824,1015.4,0.58279,0.79767,0.7006,41843,59,41843
1.1364e+06,0.63883,0.18,0.93359,1,1000,1.3863,4.5748e+05,0.8601,4.0188e+05,88.764,397.47,0.63193,0.98524,0.85948,6.5462e+05,60,6.5462e+05
3.4097e+05,0.32528,0.18,0.65316,1,1000,1.3863,3.5815e+05,0.99218,4.0235e+05,56.714,1923.9,0.65886,0.90135,0.685,50193,61,50193
1.1052e+06,0.6638,0.18,0.03027,1,1000,1.3863,4.9844e+05,0.66252,5.2331e+05,89.004,660.4,0.25989,0.96199,0.8402,2.6837e+23,62,2.7537e+23
5.6637e+05,0.91605,0.18,0.27543,1,1000,1.3863,2.9188e+05,0.11395,3.1092e+05,75.591,1206.6,0.22843,0.652,0.36616,2.3777e+05,63,2.3777e+05
1.0193e+06,0.47216,0.16193,0.38204,1,1000,1.3863,5.1331e+05,0.11364,9.7856e+05,60.327,1199.8,0.84852,0.050622,0.65022,8.2639e+31,64,3.9164e+32
9.1648e+05,0.86378,0.18,0.45088,1,1000,1.3863,3.7937e+05,0.035423,5.1381e+05,87.224,104.38,0.40773,0.10805,0.75988,2.1748e+07,65,2.1748e+07
1.1632e+06,0.59232,0.34452,0.091833,1,1000,1.3863,2.8787e+05,0.0022345,9.5853e+05,42.972,337.4,0.99897,0.90215,0.822,66676,66,66676
1.0457e+06,0.30109,0.33271,0.65963,1,1000,1.3863,5.0066e+05,0.0015541,9.4181e+05,0.14615,440.86,0.99493,0.84731,0.70194,2.3163e+05,67,2.3163e+05
1.2619e+06,0.67025,0.18,0.055953,1,1000,1.3863,5.7052e+05,0.06818,5.8109e+05,21.24,1086.6,0.63715,0.65127,0.685,1.7619e+05,68,1.762e+05
1.0985e+06,0.54331,0.18041,0.79641,1,1000,1.3863,4.8101e+05,0.95637,4.4454e+05,52.019,1907.6,0.23217,0.05742,0.92933,2.3466e+24,69,2.3684e+24
1.3023e+06,0.94458,0.16837,0.26731,1,1000,1.3863,2.2944e+05,0.0010352,7.7503e+05,22.64,642.05,0.90443,0.97477,0.65898,98269,70,98269
