mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
2920200,0.0014984,0.00056013,0.6,1,1000,1000,22696,2.9266E-08,276790000,49.845,3734.5,3.9367E-14,143920,500000,111180000000000,1,111180000000000
2920200,0.0014984,0.00056013,0.6,1,1000,1000,475900,2.926E-08,547230000,1385900,1501700,1.5136E-05,343410,74484,111340000000000,2,111340000000000
2920200,0.0014984,0.00056013,0.6,1,1000,1000,407140,7.127E-09,929270000,3499800,1966000,0.25108,308020,236640,207800000000000,3,207800000000000
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.489e+05,2.017e-08,5.8528e+08,5.4958e+06,9.1595e+06,5.2957e-14,1.0451e+05,0.75821,1.1117e+14,4,1.1117e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,77.613,2.9116e-08,7.4307e+07,1.1714e+06,4.0039e+06,3.3459e-10,0.00046387,37313,1.0756e+14,5,1.0756e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,71710,2.9264e-08,1.3707e+07,1.5772e+06,3.8681e+06,1.5294e-21,24291,6.6727e-08,1.1013e+14,6,1.1013e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,98024,2.8142e-08,2.5932e+08,4.5553e+06,9.899e+06,2.2692e-09,7476.8,1.1569e-13,1.1037e+14,7,1.1037e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.1449e+05,2.6729e-08,1.5241e+08,8.2582e+06,5.3834e+06,0.98826,39089,2.2134e+05,2.0873e+14,8,2.0873e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.8995e+05,5.696e-09,4.6677e+06,7.7488e+06,8.1714e+06,0.42695,1.1924e+05,4.9932e+05,2.0832e+14,9,2.0832e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,43252,9.965e-09,4.2677e+08,4.6923e+05,4.6923e+05,7.7427e-07,0.081537,7108,1.1076e+14,10,1.1076e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.0316e+05,2.6292e-08,2.3994e+08,1.777e+05,1.788e+05,2.6533e-10,56103,0.0029664,1.1041e+14,11,1.1041e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.5969e+05,2.9176e-08,4.6409e+08,3.2145e+06,3.2145e+06,1.7444e-10,2.0491e+05,2.0621,1.1118e+14,12,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.0376,2.7412e-12,2.3696e+08,1.7199e+06,1.7199e+06,2.5753e-12,57991,5e+05,1.1118e+14,13,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.876e+05,1.7495e-09,2.3481e+08,3.5316e+06,8.2119e+06,7.7017e-05,21512,84495,1.1196e+14,14,1.1196e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.5388e+05,2.164e-08,6.4776e+08,4.5827e+06,5.4714e+06,1.3753e-06,2.6482e+05,0.013375,1.1068e+14,15,1.1068e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.4339e+05,5.3706e-09,3.6851e+08,6.2562e+06,7.8023e+06,0.081126,4.6469e+05,3.8786e+05,2.0507e+14,16,2.0507e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,952.91,7.2226e-10,4.4681e+08,3.1448e+06,5.0701e+06,2.0051e-13,3.1882e+05,3.5797e+05,1.1118e+14,17,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,5e+05,2.9266e-08,8.1279e+08,9.9969e+06,9.9969e+06,3.9493e-11,1.1198e+05,4.8149e+05,1.1118e+14,18,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.6712e+05,1.3062e-08,2.0777e+08,4.0742e+06,4.4477e+06,2.6726e-08,20.954,5e+05,1.1118e+14,19,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.4418e+05,2.1943e-15,2.2771e+08,3.1539e+06,3.1539e+06,1.1287e-12,1.8479e+05,34920,1.1118e+14,20,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.5244e+05,2.8673e-08,4.3889e+08,1.1112e+06,2.5806e+06,1.0218e-05,2.9745e+05,1.3111e+05,1.1129e+14,21,1.1129e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.0822e+05,2.0782e-08,2.2178e+08,1.1862e+06,2.9678e+06,0.31825,1.0782e+05,4.9877e+05,2.0807e+14,22,2.0807e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.1051e+05,7.1037e-09,8.0102e+08,17612,9.2938e+06,0.41951,4.708e+05,5e+05,2.083e+14,23,2.083e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.1864e+05,1.3429e-08,9.6309e+08,5.4681e+06,5.2114e+06,0.23159,2.4445e+05,3.1203e+05,2.0769e+14,24,2.0769e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,5e+05,2.9076e-08,5.3525e+08,3.2942e+06,3.2942e+06,0.66245,1.7661e-10,13992,2.0846e+14,25,2.0846e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,49356,7.6639e-09,3.3538e+08,6.7973e+06,1.3655e+06,0.72123,53381,3.2688e+05,2.0862e+14,26,2.0862e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.906e+05,2.9266e-08,7.1505e+08,9.9491e+06,9.9491e+06,1.0538e-13,2.0964e+05,36643,1.1118e+14,27,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.4391e+05,2.9212e-08,5.0004e+08,4.8009e+06,9.048e+06,1.6005e-09,2.4198e+05,5e+05,1.1118e+14,28,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.825e+05,3.8824e-11,1.8296e+08,10239,4.6385e+06,1.3369e-11,1.3261e+05,2.2921e+05,1.1118e+14,29,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,5e+05,2.914e-08,5.0048e+08,7.1475e+05,7.1475e+05,8.3183e-07,1.1551e+05,4.464,1.1119e+14,30,1.1119e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.8059e+05,4.3871e-09,8.1692e+08,9.8032e+06,9.8032e+06,7.197e-14,2.9879e+05,1112.9,1.1118e+14,31,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,5e+05,2.9266e-08,8.0008e+08,6.0592e+06,6.0592e+06,0.2224,56439,0.58044,2.0763e+14,32,2.0763e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.7909e+05,1.4157e-10,7.78e+08,8.8403e+05,8.8403e+05,6.067e-10,3.2966e+05,4.9995e+05,1.1118e+14,33,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.3836e+05,1.8795e-08,2.9201e+08,4.0569e+06,38265,9.6873e-08,0.0020953,128.65,1.0767e+14,34,1.0767e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,14550,2.9265e-08,4.8971e+08,3.2273e+06,9.1851e+06,5.5004e-09,41045,4.7748e+05,1.1118e+14,35,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.3456e+05,1.2375e-08,5.4789e+08,9.4274e+06,4.1774e+06,0.98305,1.5073e+05,3.5055e+05,2.0873e+14,36,2.0873e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.191e+05,1.054e-11,6.9941e+08,2.601e+06,2.601e+06,6.8605e-08,5e+05,0.0032083,1.1043e+14,37,1.1043e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,13658,1.7516e-08,8.8187e+08,6.6923e+06,1.9081e+06,2.3044e-10,0.0082929,4.8377e+05,1.086e+14,38,1.086e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,308.19,6.3035e-13,6.4478e+08,3.3158e+06,3.3158e+06,1.1177e-17,2.597e+05,87413,1.1118e+14,39,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.1704e+05,1.4509e-10,3.8312e+08,3.6042e+06,3.6042e+06,7.9828e-07,1.3859e+05,5e+05,1.1119e+14,40,1.1119e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.1219e+05,2.8759e-08,7.3026e+08,3.4388e+06,5.8407e+06,0.10777,4.5315e+05,4.3983e+05,2.0609e+14,41,2.0609e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.9953e+05,7.5666e-09,5.9437e+08,62937,4.2206e+06,1.9257e-10,2470.9,0.0089401,1.1062e+14,42,1.1062e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.9388e+05,2.9193e-08,5.9854e+08,4.7137e+06,6.9628e+06,5.7832e-07,3.4641e+05,4.7592e+05,1.1119e+14,43,1.1119e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,34403,9.3534e-09,5.3088e+08,6.5445e+06,4.0762e+06,0.81998,3.5918e+05,4.8432e+05,2.0867e+14,44,2.0867e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.0934e+05,2.8694e-08,1.0551e+08,6.9224e+06,6.9309e+06,3.8168e-11,71342,2.4372e+05,1.1118e+14,45,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,76828,8.2239e-09,4.4011e+08,5.2714e+06,4.5742e+06,0.66756,2.5903e+05,4.7181e+05,2.0858e+14,46,2.0858e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.911e+05,2.9259e-08,2.4074e+08,4.9081e+06,4.9081e+06,2.8052e-13,2.1868e+05,41468,1.1118e+14,47,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,5.4965e-07,1.2775e-14,6.6784e+08,3.6669e+06,3.6669e+06,1.1141e-12,2.2209e+05,10523,1.1118e+14,48,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.6556e+05,2.0227e-08,9.1599e+08,6619.5,4.6223e+06,1.3532e-10,2.6434e+05,4.9935e+05,1.1118e+14,49,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.2613e+05,2.9205e-08,4.7138e+08,3.9572e+05,1.7613e+06,4.3993e-05,1.9979e+05,5e+05,1.1163e+14,50,1.1163e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,6.103e-07,8.7583e-11,1.9178e+08,4517.7,1e+07,4.992e-11,220.2,1.738e+05,1.1118e+14,51,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.3672e+05,2.9128e-08,9.1458e+07,4.219e+06,4.2652e+06,4.0553e-11,15197,0.048709,1.1099e+14,52,1.1099e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.0883e+05,1.9912e-08,6.358e+08,9.4491e+06,2.0869e+06,0.05413,581.02,3547.2,2.0294e+14,53,2.0294e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.0365e+05,1.3174e-08,4.5875e+08,6.6194e+06,7.7029e+06,0.35022,3.31e+05,2.0808e+05,2.0816e+14,54,2.0816e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.9931e+05,1.533e-10,2.575e+08,5.8044e+06,5.8044e+06,3.0883e-12,4.9857e+05,3.8171e+05,1.1118e+14,55,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.5904e+05,3.4889e-09,9.3983e+08,6.4555e+06,4.7946e+06,0.63932,2.7236e+05,3.2366e+05,2.0856e+14,56,2.0856e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1.5458e+05,2.8015e-08,5.0581e+08,3.6733e+06,3.6733e+06,3.4705e-12,1.6668e+05,84.887,1.1118e+14,57,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.0229e+05,1.3122e-08,3.6584e+08,7.635e+06,6.279e+06,0.77198,4.6643e+05,4.8637e+05,2.0865e+14,58,2.0865e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,1537.4,2.9215e-08,6.9628e+08,8.8315e+05,5.2492e+06,1.3065e-12,4.0453e+05,2.2733e+05,1.1118e+14,59,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.9999e+05,2.9265e-08,7.4113e+08,3.6064e+06,3.6064e+06,6.7968e-12,4.5167e+05,5e+05,1.1118e+14,60,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.9761e+05,2.229e-08,2.4282e+08,4.4246e+06,6.8792e+06,7.4578e-11,3.5897e+05,1.8829e+05,1.1118e+14,61,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.5944e+05,2.0682e-08,4.4233e+08,15706,3.2509e+06,4.7475e-07,5e+05,0.49275,1.1117e+14,62,1.1117e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,4.1086e+05,1.2582e-08,8.8778e+08,3.9118e+06,7.6911e+06,0.39679,4.0426e+05,3.7754e+05,2.0826e+14,63,2.0826e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.7664e+05,6.3497e-09,7.9042e+08,6.3793e+06,6.3793e+06,0.51414,1.1631e+05,82745,2.0844e+14,64,2.0844e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2.4223e+05,3.698e-11,8.6199e+08,9.2791e+06,5.5906e+06,8.6633e-13,3.7748e+05,1.9573e+05,1.1118e+14,65,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,90466,2.9252e-08,7.4838e+08,2.6019e+06,2.6044e+06,7.8899e-13,4.4914e+05,144.52,1.1118e+14,66,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,55950,3.4094e-09,6.7866e+08,4.9504e+06,1.8985e+06,1.5975e-12,73707,27484,1.1118e+14,67,1.1118e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,3.2613e+05,2.6474e-15,9.2859e+08,6.7965e+06,6.7965e+06,0.78382,4.293e+05,5e+05,2.0865e+14,68,2.0865e+14
2.9202e+06,0.0014984,0.00056013,0.6,1,1000,1000,2053.9,3.4501e-13,6.1258e+08,7.5862e+06,7.5862e+06,4.4728e-20,3.6774e+05,1.4461e+05,1.1118e+14,69,1.1118e+14
