mu,beta,c,epsilon,n,d,f,alpha,a,kA,e_T,e_R,g,b_T,b_R,Error,EntryNumber,error2
1e+05,0.3,0.0206,0.1895,1,1000,1.3863,35757,0.00010107,9.7199e+05,100,991.8,0,0.5,0.3,11430,1,11430
1e+05,0.3,0,0,1,1000,1.3863,42953,0.00067836,3.3417e+05,100,1687.3,0,0.46192,0.3,5214.2,2,5214.3
1e+05,0.3,0,0,1,1000,1.3863,36848,0.043741,5.5088e+05,100,144.05,0,0.49282,0.069318,41583,3,41583
1e+05,0.3,0,0,1,1000,1.3863,15958,0.19997,8.4529e+05,100,1477.7,0,0.2066,0.14628,6.1846e+19,4,6.1846e+19
1e+05,0.3,0,0,1,1000,1.3863,53874,0.19934,5.2926e+05,100,484.83,0,0.31332,0.29658,1.6162e+20,5,1.6162e+20
1e+05,0.3,0,0,1,1000,1.3863,33914,0.032929,9.0659e+05,100,1980.5,0,0.45358,0.29271,4428.4,6,4428.4
1e+05,0.3,0,0,1,1000,1.3863,51533,0.0001,5.8599e+05,100,271.21,0,0.5,0.29846,6487.3,7,6487.3
1e+05,0.3,0,0,1,1000,1.3863,36266,0.013267,4.1134e+05,100,776.64,0,0.20028,0.28349,19015,8,19015
1e+05,0.3,0,0,1,1000,1.3863,42850,0.17334,2.2978e+05,100,263.81,0,0.27912,0.26347,1.1103e+19,9,1.1214e+19
1e+05,0.3,0,0,1,1000,1.3863,38288,0.023803,4.1011e+05,100,950.31,0,0.49982,0.29985,4520.4,10,4520.4
1e+05,0.3,0,0,1,1000,1.3863,34574,0.06286,9.4477e+05,100,910.31,0,0.4992,0.26348,5388.5,11,5388.5
1e+05,0.3,0,0,1,1000,1.3863,33914,0.076311,9.0466e+05,100,1864.4,0,0.4671,0.2927,4096.1,12,4096.1
1e+05,0.3,0,0,1,1000,1.3863,33914,0.15425,8.9995e+05,100,303.38,0,0.44943,0.2927,4.7794e+23,13,4.2953e+24
1e+05,0.3,0,0,1,1000,1.3863,33914,0.19963,22592,100,247.83,0,0.32162,0.2927,5.8033e+20,14,5.8034e+20
1e+05,0.3,0,0,1,1000,1.3863,33914,0.19895,2.9812e+05,100,1444.3,0,0.2,0.2927,2.577e+19,15,2.577e+19
1e+05,0.3,0,0,1,1000,1.3863,33914,0.1008,6.4368e+05,100,1660.5,0,0.49993,0.2927,4159.1,16,4159.1
1e+05,0.3,0,0,1,1000,1.3863,33914,0.0001608,7.3765e+05,100,1281.7,0,0.49977,0.2927,3096.1,17,3096.1
1e+05,0.3,0,0,1,1000,1.3863,33914,0.00083416,8.9004e+05,100,103.09,0,0.31787,0.2927,5461.6,18,5461.6
1e+05,0.3,0,0,1,1000,1.3863,33914,0.19938,1.3134e+05,100,1982.1,0,0.46696,0.2927,7.6766e+18,19,7.6766e+18
1e+05,0.3,0,0,1,1000,1.3863,33914,0.18443,4.513e+05,100,387.61,0,0.31267,0.2927,6.103e+19,20,1.3069e+21
1e+05,0.3,0,0,1,1000,1.3863,33914,0.19476,2.2337e+05,100,152.73,0,0.25652,0.2927,9.3633e+19,21,9.3785e+19
1e+05,0.3,0,0,1,1000,1.3863,33914,0.00052768,5.4648e+05,100,1397.7,0,0.38006,0.2927,4196.7,22,4196.7
