,FileID,Organ,Age,Genotype,intage,NaiveCT,ActivatedCD4CT,X4TregCT,ThymicDerivedTregsCT,X4TregProlCT,NaiveDerivedTregsCT,hours,ActivatedProlCT,NaiveProlCT,ThymicNaive,ActivatedNaiveCT,X4TregRatio
13,JA032218D14KOS_4,Spleen,14,KO,14,683678.401358467,3218595.57899808,332135.293473713,17249.6071771831,285724.753416074,29160.9328804553,336,1751605.21407001,0,683678.401358467,1466990.36492807,0.078437220399642
1,JP090617D19KOS,Spleen,18,KO,18,916219.903678334,4877140.22074996,158041.780479337,3596.70782961655,1000000,154445.072649721,432,1,0,916219.903678334,4877139.22074996,0.026555386949924
2,JP091317D19KOS,Spleen,18,KO,18,422159.338422235,2247201.00569559,201884.395773617,5330.28107653115,1000000,196554.114697086,432,1,0,422159.338422235,2247200.00569559,0.0703125
5,JA111417D18KOS,Spleen,18,KO,18,1328526.37758987,7071893.33527681,1027553.52141681,24909.2701366977,818242.090766253,184402.16051386,432,1777325.04642696,331445.926443858,997080.451146007,5294568.28884985,0.108989864086616
8,GM031318D19KOS,Spleen,18,KO,18,919659.994749877,4895452.20727274,361119.596244343,7527.45181419914,150884.460930796,202707.683499348,432,94292.2582360189,233968.256849398,685691.737900479,4801159.94903672,0.058469242742099
14,GM032718D20KOS,Spleen,18,KO,18,324431.512914962,1726984.94560519,94355.2450257827,2316.28282089252,67287.6797860632,24751.282418827,432,418638.721117401,88974.0864677136,235457.426447248,1308346.22448779,0.043972639246691
4,JA103117D14KOS,Spleen,14,KO,14,261213.421988556,1229730.76744384,160449.291909116,3805.7232426261,128359.433527293,28284.1351391972,336,358346.572130155,51169.6218156791,210043.800172877,871384.195313689,0.097159940209268
10,GM032118D14KOS_4,Spleen,14,KO,14,57532.1335995095,270847.624388558,24865.421026544,563.106570049376,14374.661900744,9927.65255575058,336,1,17192.6023382818,40339.5312612276,270846.624388558,0.070391395279355
11,GM032118D14KOS_6,Spleen,14,KO,14,93887.9794481134,442002.314205503,35653.9913116317,651.167994276786,25791.6596046069,9211.16371274798,336,134550.80254363,17846.8452473855,76041.134200728,307451.511661873,0.062381852551985
12,JA032218D14KOS_2,Spleen,14,KO,14,1459841.91567271,6872589.10985648,446528.21736294,10457.0864947849,392905.833181801,43165.2976863542,336,1012014.25971159,726079.268584587,733762.647088127,5860574.85014489,0.050863457160309
13,JA032218D14KOS_4,Spleen,14,KO,14,683678.401358467,3218595.57899808,332135.293473713,17249.6071771831,285724.753416074,29160.9328804553,336,1751605.21407001,0,683678.401358467,1466990.36492807,0.078437220399642
1,JP090617D19KOS,Spleen,18,KO,18,916219.903678334,4877140.22074996,158041.780479337,3596.70782961655,1000000,154445.072649721,432,1,0,916219.903678334,4877139.22074996,0.026555386949924
2,JP091317D19KOS,Spleen,18,KO,18,422159.338422235,2247201.00569559,201884.395773617,5330.28107653115,1000000,196554.114697086,432,1,0,422159.338422235,2247200.00569559,0.0703125
5,JA111417D18KOS,Spleen,18,KO,18,1328526.37758987,7071893.33527681,1027553.52141681,24909.2701366977,818242.090766253,184402.16051386,432,1777325.04642696,331445.926443858,997080.451146007,5294568.28884985,0.108989864086616
8,GM031318D19KOS,Spleen,18,KO,18,919659.994749877,4895452.20727274,361119.596244343,7527.45181419914,150884.460930796,202707.683499348,432,94292.2582360189,233968.256849398,685691.737900479,4801159.94903672,0.058469242742099
14,GM032718D20KOS,Spleen,18,KO,18,324431.512914962,1726984.94560519,94355.2450257827,2316.28282089252,67287.6797860632,24751.282418827,432,418638.721117401,88974.0864677136,235457.426447248,1308346.22448779,0.043972639246691
