Population,Hour,SimulationValue,CellValue,RsquareValue,PctContribution
NaiveTCT,96,5101.37380200476,232477.723496235,0.956594526645892,0.00106448405012015
NaiveTCT,96,5101.37380200476,60088.921583325,0.837413359698426,0.000931861034039223
NaiveTCT,96,5101.37380200476,60889.1047035655,0.83945654209025,0.000934134656778012
NaiveTCT,168,16915.834070712,144438.00012577,0.779486196016275,0.000867400554608553
NaiveTCT,168,16915.834070712,201022.210033447,0.838782907329248,0.000933385046113598
NaiveTCT,168,16915.834070712,184941.819766033,0.825434563797667,0.000918531209520247
NaiveTCT,168,16915.834070712,205672.321098802,0.842271437557802,0.000937267030259669
NaiveTCT,216,36814.7544856918,148019.383089897,0.564427997844639,0.000628087015355962
NaiveTCT,216,36814.7544856918,182683.80305411,0.637567561200827,0.000709475625113537
NaiveTCT,216,36814.7544856918,298758.329385976,0.768732878398351,0.000855434423953078
NaiveTCT,216,36814.7544856918,197016.816978785,0.661195074195544,0.000735767967403086
NaiveTCT,288,109737.837972471,203609.121707019,0.212554866701515,0.000236527869517001
NaiveTCT,288,109737.837972471,130078.885042624,0.0244530478706742,2.72109851249366e-05
NaiveTCT,288,109737.837972471,1256950.07786846,0.833012436881915,0.000926963753097828
NaiveTCT,336,208548.129754017,261213.421988556,0.0406497631535054,4.52344471066434e-05
NaiveTCT,336,208548.129754017,57532.1335995095,6.8900907635762,0.00766718972083564
NaiveTCT,336,208548.129754017,93887.9794481134,1.49143739486755,0.00165964917670594
NaiveTCT,336,208548.129754017,1459841.91567271,0.734694717574213,0.00081755726881216
NaiveTCT,336,208548.129754017,683678.401358467,0.482971698481741,0.000537443666436076
NaiveTCT,336,208548.129754017,261213.421988556,0.0406497631535054,4.52344471066434e-05
NaiveTCT,336,208548.129754017,57532.1335995095,6.8900907635762,0.00766718972083564
NaiveTCT,336,208548.129754017,93887.9794481134,1.49143739486755,0.00165964917670594
NaiveTCT,336,208548.129754017,1459841.91567271,0.734694717574213,0.00081755726881216
NaiveTCT,336,208548.129754017,683678.401358467,0.482971698481741,0.000537443666436076
NaiveTCT,336,208548.129754017,261213.421988556,0.0406497631535054,4.52344471066434e-05
NaiveTCT,336,208548.129754017,57532.1335995095,6.8900907635762,0.00766718972083564
NaiveTCT,336,208548.129754017,93887.9794481134,1.49143739486755,0.00165964917670594
NaiveTCT,336,208548.129754017,1459841.91567271,0.734694717574213,0.00081755726881216
NaiveTCT,336,208548.129754017,683678.401358467,0.482971698481741,0.000537443666436076
NaiveTCT,432,544032.201912266,916219.903678334,0.165015444333044,0.000183626712910347
NaiveTCT,432,544032.201912266,422159.338422235,0.0833414840235122,9.27411541517342e-05
NaiveTCT,432,544032.201912266,1328526.37758987,0.348689671922472,0.00038801664013754
